district,native_ar,status,governorate,population,year
Al-Basātīn,قسم البساتين,Kism (fully urban),Al-Qāhirah [ Cairo ],390894.0,2006
Al-Jamāliyah,قسم الجمالية,Kism (fully urban),Al-Qāhirah [ Cairo ],49834.0,2006
Al-Khalīfah,قسم الخليفة,Kism (fully urban),Al-Qāhirah [ Cairo ],90881.8,2006
Al-Ma'ādī [ Maadi ],قسم المعادي,Kism (fully urban),Al-Qāhirah [ Cairo ],78122.0,2006
Al-Marj [ El Marg ],قسم المرج,Kism (fully urban),Al-Qāhirah [ Cairo ],507035.0,2006
Al-Ma'ṣarah,قسم المعصره,Kism (fully urban),Al-Qāhirah [ Cairo ],252780.0,2006
Al-Maṭariyah [ Matariyyah ],قسم المطرية,Kism (fully urban),Al-Qāhirah [ Cairo ],498663.0,2006
Al-Muqaṭṭam,قسم المقطم,Kism (fully urban),Al-Qāhirah [ Cairo ],193592.8,2006
Al-Mūskī,قسم الموسكي,Kism (fully urban),Al-Qāhirah [ Cairo ],22294.0,2006
Al-Qāhirah al-Jadīdah 1 [ New Cairo ],قسم أول القاهرة الجديدة,Kism (fully urban),Al-Qāhirah [ Cairo ],27990.0,2006
Al-Qāhirah al-Jadīdah 2 [ New Cairo ],قسم ثان القاهرة الجديدة,Kism (fully urban),Al-Qāhirah [ Cairo ],40005.0,2006
Al-Qāhirah al-Jadīdah 3 [ New Cairo ],قسم ثالث القاهره الجديده,Kism (fully urban),Al-Qāhirah [ Cairo ],54344.0,2006
Al-Waylī,قسم الوايلي,Kism (fully urban),Al-Qāhirah [ Cairo ],77649.0,2006
An-Nuzhah,قسم النزهة,Kism (fully urban),Al-Qāhirah [ Cairo ],161946.0,2006
Ash-Sharābiyah,قسم الشرابية,Kism (fully urban),Al-Qāhirah [ Cairo ],215595.0,2006
Ash-Shurūq,قسم الشروق,Kism (fully urban),Al-Qāhirah [ Cairo ],22570.0,2006
As-Sāḥil,قسم الساحل,Kism (fully urban),Al-Qāhirah [ Cairo ],305322.0,2006
As-Salām 1,قسم أول السلام,Kism (fully urban),Al-Qāhirah [ Cairo ],441000.0,2006
As-Salām 2,قسم ثان السلام,Kism (fully urban),Al-Qāhirah [ Cairo ],108000.0,2006
As-Sayyidah Zaynab,قسم السيدة زينب,Kism (fully urban),Al-Qāhirah [ Cairo ],132249.0,2006
At-Tibbīn,قسم التبين,Kism (fully urban),Al-Qāhirah [ Cairo ],68897.0,2006
Aẓ-Ẓāhir,قسم الظاهر,Kism (fully urban),Al-Qāhirah [ Cairo ],64009.0,2006
Az-Zamālik [ Zamalek ],قسم الزمالك,Kism (fully urban),Al-Qāhirah [ Cairo ],17365.0,2006
Az-Zāwiyah al-Ḥamrā',قسم الزاوية الحمراء,Kism (fully urban),Al-Qāhirah [ Cairo ],315465.0,2006
Az-Zaytūn [ Zeitoun ],قسم الزيتون,Kism (fully urban),Al-Qāhirah [ Cairo ],156910.0,2006
Bāb ash-Sha'riyah,قسم باب الشعرية,Kism (fully urban),Al-Qāhirah [ Cairo ],54084.0,2006
Būlāq,قسم بولاق,Kism (fully urban),Al-Qāhirah [ Cairo ],62470.0,2006
Dār as-Salām,قسم دار السلام,Kism (fully urban),Al-Qāhirah [ Cairo ],430763.0,2006
Hada'iq al-Qubbah,قسم حدائق القبة,Kism (fully urban),Al-Qāhirah [ Cairo ],289758.0,2006
Ḥulwān [ Helwan ],قسم حلوان,Kism (fully urban),Al-Qāhirah [ Cairo ],396791.0,2006
Madīnat an-Naṣr 1 [ Nasr City ],قسم مدينة نصر أول,Kism (fully urban),Al-Qāhirah [ Cairo ],501597.0,2006
Madīnat an-Naṣr 2 [ Nasr City ],قسم ثانى مدينه نصر,Kism (fully urban),Al-Qāhirah [ Cairo ],75917.0,2006
Madīnat Badr,قسم مدينة بدر,Kism (fully urban),Al-Qāhirah [ Cairo ],17158.0,2006
Miṣr al-Jādidah [ Heliopolis ],قسم مصر الجديدة,Kism (fully urban),Al-Qāhirah [ Cairo ],113611.0,2006
Miṣr al-Qadīmah [ Old Cairo ],قسم مصر القديمة,Kism (fully urban),Al-Qāhirah [ Cairo ],217390.0,2006
Munsha'āt Nāṣr [ Manshiyat Naser ],قسم منشأة ناصر,Kism (fully urban),Al-Qāhirah [ Cairo ],262050.0,2006
Qaṣr an-Nīl,قسم قصر النيل,Kism (fully urban),Al-Qāhirah [ Cairo ],10035.0,2006
Rūd al-Faraj [ Rod El Farag ],قسم روض الفرج,Kism (fully urban),Al-Qāhirah [ Cairo ],144510.0,2006
Shubrā,قسم شبرا,Kism (fully urban),Al-Qāhirah [ Cairo ],71118.0,2006
Ṭurah [ Tura ],قسم طره,Kism (fully urban),Al-Qāhirah [ Cairo ],94107.0,2006
Ad-Duqqī,قسم الدقي,Kism (fully urban),Al-Jīzah [ Giza ],70926.0,2017
Al-Ahrām,قسم الأهرام,Kism (fully urban),Al-Jīzah [ Giza ],659305.0,2017
Al-'Ajūzah,قسم العجوزة,Kism (fully urban),Al-Jīzah [ Giza ],278479.0,2017
Al-'Ayyāṭ,مركز العياط,Markaz,Al-Jīzah [ Giza ],492178.0,2017
Al-Badrashayn [ Badrshein ],مركز البدرشين,Markaz,Al-Jīzah [ Giza ],537133.0,2017
Al-Ḥawāmidiyah,قسم الحوامدية,Kism (urban and rural parts),Al-Jīzah [ Giza ],190847.0,2017
Al-Jīzah [ Giza ],قسم الجيزة,Kism (fully urban),Al-Jīzah [ Giza ],285723.0,2017
Al-Jīzah [ Giza ],مركز الجيزة,Markaz,Al-Jīzah [ Giza ],367663.0,2017
Al-'Umrāniyah,قسم العمرانية,Kism (fully urban),Al-Jīzah [ Giza ],366066.0,2017
Al-Wāḥāt al-Baḥariyah,قسم الواحات البحرية,Kism (urban and rural parts),Al-Jīzah [ Giza ],39248.0,2017
Al-Warrāq,قسم الوراق,Kism (urban and rural parts),Al-Jīzah [ Giza ],722083.0,2017
Ash-Shaykh Zāyid [ Sheikh Zayed City ],قسم الشيخ زايد,Kism (fully urban),Al-Jīzah [ Giza ],90699.0,2017
Aṣ-Ṣaff,مركز الصف,Markaz,Al-Jīzah [ Giza ],418327.0,2017
Aṭfīḥ [ Atfeh ],مركز أطفيح,Markaz,Al-Jīzah [ Giza ],368293.0,2017
Aṭ-Ṭālbīah,قسم الطالبيه,Kism (fully urban),Al-Jīzah [ Giza ],457667.0,2017
Awsīm [ Ossim ],مركز أوسيم,Markaz,Al-Jīzah [ Giza ],382779.0,2017
Būlāq al-Dakrūr,قسم بولاق الدكرور,Kism (fully urban),Al-Jīzah [ Giza ],960031.0,2017
Imbābah [ Imbaba ],قسم امبابة,Kism (fully urban),Al-Jīzah [ Giza ],632599.0,2017
Imbābah [ Imbaba ],مركز إمبابة,Markaz,Al-Jīzah [ Giza ],515512.0,2017
Kirdāsah,مركز كرداسة,Markaz,Al-Jīzah [ Giza ],447593.0,2017
Madīnat Sittah Uktūbar 2 [ 6th of October City ],قسم ثان 6 أكتوبر,Kism (fully urban),Al-Jīzah [ Giza ],196373.0,2017
Madīnat Sittah Uktūbar 1 & 3 [ 6th of October City ],قسم أول 6 أكتوبر / قسم ثالث 6 أكتوبر,Kism (fully urban),Al-Jīzah [ Giza ],152497.0,2017
15 Māyū [ 15th of May City ],قسم 15 مايو,Kism (fully urban),Al-Qāhirah [ Cairo ],93574.0,2017
'Ābidīn,قسم عابدين,Kism (fully urban),Al-Qāhirah [ Cairo ],40321.0,2017
Ad-Darb al-Aḥmar,قسم الدرب الأحمر,Kism (fully urban),Al-Qāhirah [ Cairo ],58489.0,2017
'Ain Schams,قسم عين شمس,Kism (fully urban),Al-Qāhirah [ Cairo ],614391.0,2017
Al-Amīriīah,قسم الاميريه,Kism (fully urban),Al-Qāhirah [ Cairo ],152554.0,2017
Al-Azbakiyah [ Azbakeya ],قسم الأزبكية,Kism (fully urban),Al-Qāhirah [ Cairo ],19763.0,2017
Al-Basātīn,قسم البساتين,Kism (fully urban),Al-Qāhirah [ Cairo ],495443.0,2017
Al-Jamāliyah,قسم الجمالية,Kism (fully urban),Al-Qāhirah [ Cairo ],36368.0,2017
