H3_Hex_ID,Jobs_Accessible_60min,Jobs_Pct_Accessible_60min,Population_2018,Jobs_In_Hex,Boarding_Total_Hex,Underserved_Score,population_percentile,underserved_percentile,boarding_gap,masari_priority_score,centroid_x,centroid_y,centroid_lat,centroid_lon
883e628625fffff,594082,10.6,45208,6750,0.0,0.599344262295082,69.33333333333334,79.33333333333333,45208.0,74.83333333333334,341504.8618377818,3337828.6478677066,30.161532273424374,31.35411311697433
883e6288d9fffff,377660,6.8,44970,9487,0.0,0.5970491803278688,67.66666666666666,78.33333333333333,44970.0,73.53333333333332,322732.2188613763,3321025.012120413,30.007376951525657,31.16205454367861
883e6288ddfffff,312005,5.6,44970,9487,0.0,0.5970491803278688,67.66666666666666,78.33333333333333,44970.0,73.53333333333332,321903.57167784346,3320467.8842999763,30.002231483895,31.153559777997085
883e6280cdfffff,365323,6.5,43700,15781,0.0,0.5940983606557377,66.0,77.33333333333333,43700.0,72.23333333333333,330392.8564425732,3335589.35400019,30.13983575134476,31.239123984359804
883e6281cbfffff,1003012,17.9,40095,7830,0.0,0.5822950819672131,64.66666666666666,76.66666666666667,40095.0,71.26666666666667,326320.1569476533,3331806.2382087596,30.105138327408643,31.197478237443747
883e628705fffff,21257,0.4,38205,11000,0.0,0.5757377049180328,64.0,76.0,38205.0,70.6,337295.670553535,3336045.195016857,30.14488925874696,31.31069290043078
883e6281a5fffff,2027662,36.3,37294,10254,0.0,0.5731147540983607,62.66666666666667,75.33333333333333,37294.0,69.63333333333334,324111.94833943975,3326137.4745508977,30.053690198725395,31.175509080261715
883e62874bfffff,26915,0.5,36988,11734,0.0,0.5724590163934427,62.0,74.66666666666667,36988.0,68.96666666666667,337915.7630435399,3339599.226608297,30.177031021679735,31.31658410663367
883e62871bfffff,94601,1.7,36868,5160,0.0,0.5711475409836065,61.33333333333333,74.0,36868.0,68.30000000000001,341574.18441501417,3336829.569269916,30.152528949667857,31.354982379211016
883e628765fffff,209536,3.7,36838,17005,0.0,0.5704918032786885,60.66666666666667,73.33333333333333,36838.0,67.63333333333334,334672.70407007105,3336373.8955701436,30.147500999639668,31.28341828411933
883e6281c7fffff,629667,11.3,35143,6508,0.0,0.5645901639344262,60.0,72.66666666666667,35143.0,66.96666666666667,325560.9930022416,3330249.9110411163,30.090991998538932,31.189858484536792
883e628ab7fffff,2090620,37.4,34321,6543,0.0,0.5626229508196722,59.333333333333336,72.0,34321.0,66.3,321834.1916398063,3321467.527652647,30.011238071107574,31.152673686212022
883e621469fffff,52637,0.9,33551,10533,0.0,0.5606557377049181,58.666666666666664,71.33333333333334,33551.0,65.63333333333334,337860.1892447167,3302954.665422964,29.846464196655976,31.321583223877713
883e628741fffff,35476,0.6,33197,11244,0.0,0.5593442622950819,57.99999999999999,70.66666666666667,33197.0,64.96666666666667,337087.71793279785,3339042.7423979626,30.17190067005564,31.308072896602074
883e628dbbfffff,417754,7.5,33028,2763,0.0,0.5586885245901639,57.333333333333336,70.0,33028.0,64.3,335648.38534472836,3309834.9308369756,29.908236627212716,31.297641680398918
883e6288d7fffff,38761,0.7,30489,12964,0.0,0.5527868852459017,56.666666666666664,69.33333333333334,30489.0,63.63333333333334,322870.9890628931,3319025.7609216943,29.989363863745805,31.163824825248042
883e628763fffff,17682,0.3,30323,10563,0.0,0.5521311475409836,56.00000000000001,68.66666666666667,30323.0,62.966666666666676,336398.2738294137,3336487.8262717817,30.14876175915668,31.30131051287049
883e6281c5fffff,9461,0.2,29705,4101,0.0,0.5495081967213115,55.333333333333336,68.0,29705.0,62.3,324663.12147959124,3330692.566192928,30.09485605428225,31.18047212048399
883e6288c1fffff,223574,4.0,29317,5684,0.0,0.5475409836065573,54.666666666666664,67.33333333333333,29317.0,61.633333333333326,320176.7975890544,3320353.2445231676,30.00094516535596,31.13568442023257
883e6280dbfffff,104378,1.9,29250,12852,0.0,0.5468852459016393,54.0,66.66666666666666,29250.0,60.96666666666666,334742.0267159102,3335374.643290999,30.138496801111234,31.284293786378747
883e621717fffff,5979,0.1,27980,1668,0.0,0.5429508196721311,52.666666666666664,66.0,27980.0,60.0,336962.64901890577,3303396.672199033,29.850333089615226,31.312228466397094
883e628d4dfffff,8949,0.2,27713,1986,0.0,0.5422950819672131,52.0,65.33333333333333,27713.0,59.33333333333333,325564.8952117129,3317698.441801579,29.977777693920547,31.191955968045892
883e6281e1fffff,780840,14.0,27549,4412,0.0,0.5416393442622951,51.33333333333333,64.66666666666666,27549.0,58.666666666666664,323903.8960677561,3329136.1451058523,30.080707994462347,31.172854931216516
883e628769fffff,28651,0.5,26973,11745,0.0,0.539672131147541,50.66666666666667,64.0,26973.0,58.00000000000001,335431.5296794714,3337929.700564121,30.161637724302594,31.29105216062024
883e628db3fffff,205306,3.7,26748,5238,0.0,0.5377049180327869,50.0,63.33333333333333,26748.0,57.333333333333336,335717.8232380303,3308835.5650948444,29.899230880874587,31.29851389788892
883e629597fffff,3321,0.1,26216,341,0.0,0.5357377049180327,49.333333333333336,62.66666666666667,26216.0,56.66666666666667,340330.39823308075,3342267.614287855,30.201420749153556,31.341250337919277
883e628d41fffff,6702,0.1,25988,2356,0.0,0.5337704918032787,48.66666666666667,62.0,25988.0,56.00000000000001,326462.80035129393,3317256.0383252706,29.97391455433897,31.20133095551151
883e6286c3fffff,1627,0.0,25579,476,0.0,0.5311475409836065,48.0,61.33333333333333,25579.0,55.333333333333336,350059.3779038603,3339396.706695093,30.176761830256748,31.44269649785481
883e628c09fffff,967370,17.3,25309,2352,0.0,0.5304918032786885,47.333333333333336,60.66666666666667,25309.0,54.66666666666668,333228.46367230936,3319713.7801098856,29.99702346525494,31.271043967640136
883e6288c5fffff,350762,6.3,25268,4883,0.0,0.5298360655737705,46.666666666666664,60.0,25268.0,54.0,319348.0521254845,3319796.066785858,29.995797606674458,31.12719063139733
883e62844dfffff,59977,1.1,25217,3330,0.0,0.5291803278688525,46.0,59.333333333333336,25217.0,53.33333333333334,342471.38232726726,3336386.9887671582,30.148652979184458,31.36436115294863
883e628751fffff,80695,1.4,23950,5220,0.0,0.5252459016393443,45.33333333333333,58.666666666666664,23950.0,52.666666666666664,339710.37587606773,3338713.901419954,30.16928273521502,31.335350692719732
883e628a91fffff,1033731,18.5,23212,3267,0.0,0.5226229508196721,44.666666666666664,57.99999999999999,23212.0,51.99999999999999,323352.71963382396,3324580.8992225,30.039540536102685,31.1678954362312
883e621759fffff,110734,2.0,23062,6387,0.0,0.5219672131147541,44.0,57.333333333333336,23062.0,51.333333333333336,335787.26539270976,3307836.1969325235,29.890225089593844,31.29938596138028
883e628ed9fffff,1159193,20.7,22596,14020,0.0,0.520655737704918,43.333333333333336,56.666666666666664,22596.0,50.666666666666664,340611.83191632916,3325725.0661216667,30.052232999705204,31.34666189420137
883e62875dfffff,20310,0.4,21934,4539,0.0,0.5180327868852459,42.66666666666667,56.00000000000001,21934.0,50.00000000000001,338813.0852480233,3339156.554960124,30.17315714964717,31.32596791917344
883e628d5dfffff,40465,0.7,21292,2502,0.0,0.5154098360655738,42.0,55.333333333333336,21292.0,49.333333333333336,328189.1132774091,3317370.79682339,29.975192800253595,31.219198024255107
883e628c61fffff,1769239,31.7,72964,5792,650.0,0.2577049180327868,96.0,11.333333333333332,112.07987711213518,49.16666666666667,330674.23865626974,3319042.083294226,29.990614145246408,31.244680722607132
883e628729fffff,15247,0.3,21036,4895,0.0,0.5134426229508197,41.333333333333336,54.666666666666664,21036.0,48.66666666666667,336467.5974745806,3335488.616552808,30.139757764495346,31.30218441638068
883e628441fffff,13458,0.2,20640,4915,0.0,0.5121311475409837,40.666666666666664,54.0,20640.0,48.0,343368.54864439665,3335944.4264314645,30.14477646861972,31.373738887747567
883e628703fffff,512760,9.2,72912,15396,1014.0,0.2337704918032787,95.33333333333334,9.333333333333334,71.8344827586207,47.76666666666667,339021.04145498254,3336159.1345080864,30.14614634685192,31.32858312941163
