stop_id,stop_name,stop_lat,stop_lon,location_type,x_m,y_m
picnic.refills.status,Ezbet Kheirallah Steps 2 - Ring Road,29.9917241313298,31.2519695479538,0,331379.33790650894,3319154.357337359
promoting.scatter.shun,Al Bahr Al Aazam Exit - Start,29.9871148813785,31.2183071843435,0,328123.6920299005,3318693.513857158
mediate.agreement.plunge,Al Bahr Al Aazam Exit - End,29.9890055538003,31.2153054580148,0,327837.3379296552,3318907.5730769197
rejoiced.hound.tins,The Egyptian Lawyers Association,30.052382452447,31.2375986049061,0,330096.3524475065,3325898.651404777
fingertip.overlaps.curls,Ramses,30.0615301339475,31.2463099526807,0,330951.84661551774,3326899.624947116
scooter.compiler.placidly,Faculty of Medicine - Ain Shams University,30.0771668111725,31.2811789287171,0,334339.6343692458,3328581.658452837
claim.sizzled.essential,Abbaseya Bridge - Start,30.0704879231787,31.2893100631129,0,335112.353130922,3327829.650108005
circulate.flasks.plotted,Abbasseya Hospital,30.0687426363437,31.2921735166563,0,335385.502975803,3327632.0856001643
clumped.headache.linked,Ramses Extension - Northside,30.0636796384331,31.2983906030602,0,335976.4940435062,3327061.997327114
passage.dabbling.sides,Al Azhar Pedestrian Bridge,30.0607807295668,31.3074531866549,0,336845.4370049558,3326727.733315849
reflected.tinny.installs,Nasr City Sporting Club,30.0585972458096,31.310671127262,0,337152.1032908063,3326481.1428962154
expiring.heat.refusals,Nasr City Sporting Club,30.0585134688741,31.3110072630814,0,337184.373677206,3326471.3789295033
states.sitting.topics,Nasr City Police Station 2,30.0504846378243,31.3121192339267,0,337278.4484120711,3325579.93530484
blink.outlines.huddle,Nasr City Police Station 2,30.0506704705193,31.3118487973523,0,337252.6769375632,3325600.916529038
laptop.composes.sensible,Al Fath Superjet,30.0462101616842,31.3078751629058,0,336862.22754365444,3325112.227559872
herds.ticked.thumbnail,Al Gamaia Al Sharaia,30.0476005004042,31.3134292452325,0,337400.0463619685,3325258.4144216487
rocks.precluded.hotspot,Azhar University City for Boys,30.0500084999979,31.3164552073475,0,337695.7453222819,3325521.0022306577
kinder.certainly.reunion,Ashrafco Tyres - Nasr City,30.050422720016,31.3193387959966,0,337974.4559366887,3325562.822751553
shopping.signified.paces,Al Azhar University - South,30.0510541418347,31.3205413011792,0,338091.42866396275,3325631.1020497885
soup.renovated.upholding,Ahmed Al Sallab Mall,30.0520393010986,31.3244087477668,0,338465.9236332111,3325734.8210939975
puns.exporters.promoted,Zaker Hussein - Al Tayaran,30.0436939763538,31.3292206957805,0,338916.3726775027,3324803.1002834165
fuses.clever.handy,Zaker Hussein - Al Tayaran,30.0434993351806,31.3292592378526,0,338919.774103317,3324781.473440873
receiving.mermaids.awesome,ENPPI,30.04457606716,31.3394167549499,0,339900.9556242777,3324886.5503356773
extent.tinkle.ombudsman,Future School - Nasr City,30.0454806646321,31.3475605798136,0,340687.670388692,3324975.438547895
workouts.performed.protects,Kheir Zaman - Ahmed Al Zomor,30.0469888305511,31.3595127199571,0,341842.5365919833,3325126.0049605537
strongly.inversion.passion,Car Market - Nasr City,30.0476241991177,31.3661871773757,0,342487.1067444512,3325187.2137422236
quibble.breakfast.scores,Car Market - Nasr City,30.0478384967658,31.3668423070025,0,342550.61426081706,3325210.06267598
giants.procured.kickers,Al Mothalath - Ahmed Al Zomor,30.0482680003936,31.3713920041979,0,342989.97836439183,3325251.4109823615
flocking.deodorant.scratches,Vodafone - Ahmed Al Zomor,30.0486204699745,31.3745175648538,0,343291.90158251376,3325286.189222454
noises.factually.included,Vodafone - Ahmed Al Zomor,30.0484493989389,31.3745506709001,0,343294.82426118705,3325267.183836134
studs.appealed.appendix,Al Nour Mosque - Nasr City,30.0498675823253,31.385996925375,0,344400.6915487555,3325408.73564206
latched.propelled.abstracts,Al Kahraba Street - Nasr City,30.0500247483144,31.3892569047398,0,344715.25947287783,3325421.7239359375
minder.scratches.opened,Sun Mall,30.0504193239232,31.3927632269344,0,345053.9477880033,3325460.699718464
