H3_Hex_ID,Population_2018,Terminals_In_Hex,Has_Terminal
883e6280c7fffff,56480,0,False
883e6280c9fffff,45074,1,True
883e6280cbfffff,52629,0,False
883e6280cdfffff,43700,0,False
883e6280d1fffff,40042,0,False
883e6280d3fffff,18816,1,True
883e6280d5fffff,40760,0,False
883e6280d7fffff,19225,0,False
883e6280d9fffff,40763,1,True
883e6280dbfffff,29250,0,False
883e6280ddfffff,42989,2,True
883e6280e1fffff,4745,0,False
883e6280e7fffff,5645,0,False
883e6280ebfffff,21897,1,True
883e628109fffff,4931,0,False
883e62811bfffff,5377,0,False
883e628121fffff,2681,0,False
883e628123fffff,3399,0,False
883e628125fffff,2617,0,False
883e628133fffff,6316,0,False
883e628137fffff,5240,0,False
883e628143fffff,6187,1,True
883e628147fffff,5158,0,False
883e62814bfffff,6198,0,False
883e628151fffff,3624,0,False
883e628155fffff,9892,0,False
883e62815dfffff,6198,0,False
883e628181fffff,53159,1,True
883e628183fffff,59539,0,False
883e628185fffff,52951,0,False
883e628187fffff,31327,1,True
883e628189fffff,51199,0,False
883e62818bfffff,63097,1,True
883e62818dfffff,44361,2,True
883e628193fffff,46472,1,True
883e628197fffff,6781,0,False
883e628199fffff,30095,0,False
883e62819bfffff,39632,1,True
883e62819dfffff,31676,1,True
883e6281a1fffff,67119,0,False
883e6281a3fffff,37489,1,True
883e6281a5fffff,37294,0,False
883e6281a7fffff,58615,0,False
883e6281a9fffff,53158,0,False
883e6281abfffff,40033,1,True
883e6281adfffff,39462,1,True
883e6281b1fffff,15606,0,False
883e6281b3fffff,4273,0,False
883e6281b5fffff,11251,0,False
883e6281b7fffff,12844,0,False
883e6281b9fffff,22315,1,True
883e6281bbfffff,10001,0,False
883e6281bdfffff,16201,0,False
883e6281c3fffff,51295,1,True
883e6281c5fffff,29705,0,False
883e6281c7fffff,35143,0,False
883e6281cbfffff,40095,0,False
883e6281d1fffff,51263,1,True
883e6281d3fffff,50994,0,False
883e6281d5fffff,51411,0,False
883e6281d7fffff,51255,2,True
883e6281d9fffff,49548,0,False
883e6281ddfffff,51295,0,False
883e6281e1fffff,27549,0,False
883e6281e3fffff,45874,0,False
883e6281e5fffff,7161,1,True
883e6281e7fffff,31463,0,False
883e6281ebfffff,29702,1,True
883e628201fffff,4309,0,False
883e628211fffff,3277,0,False
883e628221fffff,4000,0,False
883e628223fffff,6138,0,False
883e628227fffff,8101,0,False
883e62822dfffff,3421,0,False
883e628231fffff,5920,1,True
883e628233fffff,5919,1,True
883e628239fffff,5920,0,False
883e62823bfffff,5920,0,False
883e628253fffff,3901,0,False
883e628257fffff,3902,0,False
883e628281fffff,5314,0,False
883e62828bfffff,5315,0,False
883e628291fffff,5427,0,False
883e628293fffff,5427,0,False
883e628297fffff,11247,0,False
883e62829bfffff,5521,0,False
883e6282a1fffff,10311,0,False
883e6282a3fffff,13992,0,False
883e6282a5fffff,7539,2,True
883e6282a7fffff,25962,0,False
883e6282a9fffff,10530,0,False
883e6282abfffff,3448,0,False
883e6282adfffff,7286,0,False
883e6282b3fffff,40766,1,True
883e6282b5fffff,41194,0,False
883e6282b7fffff,45400,0,False
883e6282cbfffff,3505,0,False
883e6282e1fffff,5919,0,False
883e6282e3fffff,6143,0,False
883e6282e5fffff,5919,0,False
883e6282e7fffff,6247,0,False
883e6282e9fffff,5834,0,False
883e6282edfffff,5919,0,False
883e628331fffff,7391,0,False
883e628335fffff,7232,0,False
883e628339fffff,5670,0,False
883e62833bfffff,5093,0,False
883e62833dfffff,7731,0,False
883e628351fffff,5727,0,False
883e628359fffff,4259,0,False
883e62835dfffff,5737,0,False
883e628401fffff,969,0,False
883e628403fffff,969,1,True
883e628405fffff,988,0,False
883e628407fffff,969,0,False
883e628409fffff,7342,0,False
883e62840bfffff,969,0,False
883e62840dfffff,6522,0,False
883e628411fffff,969,0,False
883e628413fffff,969,0,False
883e628415fffff,969,0,False
883e628417fffff,969,0,False
883e628419fffff,969,0,False
883e62841bfffff,969,0,False
883e62841dfffff,969,0,False
883e628421fffff,978,0,False
883e628423fffff,969,0,False
883e628425fffff,969,0,False
883e628427fffff,969,1,True
883e628429fffff,5759,0,False
