id,Feature_ID,Vehicles_Per_Hour,geometry
vehicles_per_segment_combined_simp.33,33,10.0,"LINESTRING (329787.09607690043 3327342.26683093, 329788.77623601013 3327350.093239548, 329821.76066894335 3327356.6790100206, 329960.76963286696 3327353.868114816, 330011.9898833331 3327348.6434519608, 330030.1339267128 3327343.3748117844, 330042.48158141354 3327337.419559989, 330151.9077471827 3327260.900801414, 330243.50764510594 3327203.9477359, 330335.8532713722 3327164.0567121822, 330417.9888060746 3327112.350544959, 330469.1081483383 3327087.9505853183, 330502.7500998243 3327074.5732158697, 330579.95761112066 3327047.2228072975, 330765.0137768283 3327066.097485454)"
vehicles_per_segment_combined_simp.34,34,7.0,"LINESTRING (329787.09607690043 3327342.26683093, 329791.186963055 3327343.847731139, 329795.19327767007 3327341.0143037215, 329800.35360960755 3327331.7330568405, 329818.79131707386 3327276.793342984, 329845.3190763864 3327164.967429423, 329853.41405431984 3327145.8850560174, 329957.31400944095 3326961.137670905, 329989.99577258225 3326910.523956028, 330107.6223370197 3326808.934666471, 330131.00317739986 3326786.7345535094, 330110.1718310315 3326784.580060736)"
vehicles_per_segment_combined_simp.35,35,27.0,"LINESTRING (329787.09607690043 3327342.26683093, 329790.14360048395 3327344.9724662746, 329795.3860924621 3327341.0113257947, 329801.9149582047 3327332.928425949, 329818.79131707386 3327276.793342984, 329845.4691146251 3327162.193563373, 329861.6550906768 3327130.0154331573, 329891.8828644727 3327076.6676914925)"
vehicles_per_segment_combined_simp.36,36,196.0,"LINESTRING (329787.09607690043 3327342.26683093, 329790.14360048395 3327344.9724662746, 329787.6125006517 3327349.667765451, 329805.15123453195 3327355.161715678, 329961.7080530382 3327352.190706302)"
vehicles_per_segment_combined_simp.37,37,372.0,"LINESTRING (340118.7239233585 3333114.1372391707, 340122.80551835604 3333068.9403467677, 340270.8394120233 3332836.9833702208, 340273.8134090381 3332855.9520934974)"
vehicles_per_segment_combined_simp.38,38,1.0,"LINESTRING (340118.7239233585 3333114.1372391707, 340097.69088740763 3333190.9153941832, 339883.46337194357 3332992.938089748, 339884.25955705595 3332988.0487944363, 339890.21529373794 3332980.091246063, 339899.3269778009 3332977.076317483)"
vehicles_per_segment_combined_simp.39,39,98.0,"LINESTRING (340118.7239233585 3333114.1372391707, 340152.16428987996 3333205.7542448663, 340235.4541963673 3333287.02127021, 340215.00471633585 3333284.075836291)"
vehicles_per_segment_combined_simp.40,40,12.0,"LINESTRING (340118.7239233585 3333114.1372391707, 340161.5068716464 3333092.655405858, 340557.3023282101 3332447.157143948, 340554.8555068204 3332424.633330259)"
vehicles_per_segment_combined_simp.41,41,14.0,"LINESTRING (340118.7239233585 3333114.1372391707, 340090.4431774263 3333182.9282374075, 340365.6867902066 3333435.4515673574)"
vehicles_per_segment_combined_simp.42,42,5.0,"LINESTRING (340118.7239233585 3333114.1372391707, 340150.3561617878 3333034.950256374, 340323.9559809373 3332751.628480506)"
vehicles_per_segment_combined_simp.80,80,44.0,"LINESTRING (329273.5957396369 3328504.4167694408, 329269.0228672873 3328514.206962919, 329353.84399322805 3328686.6142341034, 329360.9300645488 3328683.4557387703)"
vehicles_per_segment_combined_simp.43,43,1.0,"LINESTRING (331531.22884950554 3324898.57172796, 331534.68531075143 3324948.627919976, 331659.1462235206 3325235.6302258666, 331690.25415247155 3325321.1832286944, 331692.9743002992 3325341.429196792, 331718.80723438674 3325416.309292643, 331736.80441441946 3325451.731776341, 331785.05588733393 3325529.484913673, 331846.04755995004 3325633.207027312, 331887.3924148667 3325713.504792546, 331903.67490974884 3325756.71387767, 331918.9659376306 3325804.4833751097, 331979.0080037224 3326042.2508939537, 332025.4443140567 3326165.707068444, 332078.0915665629 3326220.6767538926)"
vehicles_per_segment_combined_simp.44,44,146.0,"LINESTRING (331531.22884950554 3324898.57172796, 331562.35699379304 3324992.2169601503, 331601.2514225196 3325082.3070031772, 331610.94993211713 3325092.1363796154, 331609.81736822857 3325089.5296013583)"
vehicles_per_segment_combined_simp.45,45,132.0,"LINESTRING (331531.22884950554 3324898.57172796, 331534.68531075143 3324948.627919976, 331647.73080107593 3325208.089333593, 331646.8849785977 3325215.8624841133, 331648.5597470503 3325224.4840430887, 331677.92751208367 3325273.424167175)"
vehicles_per_segment_combined_simp.46,46,12.0,"LINESTRING (331531.22884950554 3324898.57172796, 331527.6434165117 3324853.838816273, 331525.62675433257 3324841.785815231, 331702.1902874498 3324257.6275465544, 331754.7948267349 3324089.204402743, 331829.19101571874 3323837.8586234534, 331844.11529960705 3323829.760102543, 331877.45069362887 3323820.8267720966, 331936.91097785585 3323798.1923947427, 331958.2258156202 3323785.340580383, 332011.37853000266 3323734.865937523, 332014.2348156199 3323726.064507331, 332011.9430254435 3323708.583500718, 332004.91718029405 3323693.7797766505)"
vehicles_per_segment_combined_simp.47,47,28.0,"LINESTRING (331531.22884950554 3324898.57172796, 331525.1140117909 3324827.1600508206, 331697.05563596735 3324256.15382881)"
