id,Feature_ID,Passengers_Per_Hour,geometry
passenger_flow_mpp.93,93,920.0,"LINESTRING (338687.4692230439 3330430.0993007426, 338690.14123715134 3330434.827003284, 338693.1419112438 3330435.669888836, 338698.30240797345 3330432.601124931, 338698.93157156045 3330429.4879045845, 338731.8461558152 3330379.785069383)"
passenger_flow_mpp.94,94,931.0,"LINESTRING (329160.61851644015 3321736.8233575122, 329200.05646971916 3321954.5694853175, 329205.5781995161 3321980.7859759796)"
passenger_flow_mpp.95,95,932.0,"LINESTRING (332987.70455948694 3316627.180645816, 333011.4724599202 3316635.1362447753, 333030.1487458398 3316638.2909691837)"
passenger_flow_mpp.96,96,936.0,"LINESTRING (338839.1322570092 3329068.7711733202, 338897.0516294744 3329159.491528313, 338910.72529939533 3329191.3291404587, 338915.5950802609 3329207.8864366575, 338921.30093230313 3329242.057745465, 338920.4475865236 3329275.9924262776, 338915.6429856369 3329290.25238352, 338910.5564547718 3329298.419340007, 338890.17941589555 3329315.7893965775)"
passenger_flow_mpp.97,97,937.0,"LINESTRING (332886.0245187365 3330655.2576565878, 332900.5136438771 3330652.229585566)"
passenger_flow_mpp.98,98,945.0,"LINESTRING (334440.59409105184 3327882.6344535644, 334672.4772011902 3328151.644456309)"
passenger_flow_mpp.99,99,946.0,"LINESTRING (329008.39789681026 3329271.8946291986, 329053.02869331744 3329525.9645502726)"
passenger_flow_mpp.100,100,947.0,"LINESTRING (339781.1457973142 3330846.1290604835, 339835.8528589795 3330807.979688743, 339992.3005835546 3330695.734540018)"
passenger_flow_mpp.101,101,951.0,"LINESTRING (339773.39872281917 3331839.507862339, 339851.9763588327 3331876.0706111747, 339948.17096514034 3331922.6717437594)"
passenger_flow_mpp.102,102,955.0,"LINESTRING (342542.93079116225 3332840.913134632, 342552.9108139733 3332844.650194149, 342589.1023425008 3332848.2337868423, 342612.3110123492 3332847.014792447, 342645.9160475654 3332838.219793467, 342666.0045725785 3332827.733713083, 342688.8946443917 3332804.2375356676, 342694.5205657325 3332793.2932539713, 342712.61151437927 3332733.689281303)"
passenger_flow_mpp.103,103,961.0,"LINESTRING (334872.62676754186 3318576.692833281, 334898.11655758624 3318506.471901148)"
passenger_flow_mpp.104,104,962.0,"LINESTRING (329225.2934824849 3329630.1633417467, 329493.7628290712 3329609.262657873)"
passenger_flow_mpp.105,105,966.0,"LINESTRING (338917.3843821796 3332129.4988223696, 339184.6597015866 3332360.7165805297, 339340.3097535001 3332499.0089983842, 339449.01828581153 3332604.1771037495, 339542.71864242386 3332691.4954189723)"
passenger_flow_mpp.106,106,967.0,"LINESTRING (330597.6337155403 3326490.648320076, 330600.88900177286 3326482.8379980135, 330606.0913200802 3326476.2172342245, 330612.66388691467 3326470.9057554905, 330620.32597228617 3326467.462184532, 330628.6919141869 3326465.892448724)"
passenger_flow_mpp.107,107,976.0,"LINESTRING (326882.53691201634 3326379.1908326326, 326903.94543007464 3326404.9032051093, 326921.73586719896 3326413.936434484, 326928.78994518274 3326414.8234620667, 326935.61464901 3326413.385957692, 326940.7480730916 3326408.649097168, 326942.77528658754 3326402.630635716, 326941.11082476215 3326394.8963072863, 326915.6050641439 3326363.315878142, 326837.8397658358 3326267.0291045164)"
passenger_flow_mpp.108,108,980.0,"LINESTRING (340137.13158376946 3330591.828421423, 340201.9016177072 3330545.36144504)"
passenger_flow_mpp.109,109,981.0,"LINESTRING (333624.6143861953 3330426.553376567, 333693.3667522151 3330401.428985529, 333832.1335484039 3330359.756370601, 333851.45285923016 3330350.719015733)"
passenger_flow_mpp.110,110,989.0,"LINESTRING (336083.94846720016 3329083.603539038, 336096.0266541834 3329072.4487884766, 336141.5764136868 3329023.5475620693)"
