id,Feature_ID,Stop_Name,Total_Daily_Alighting,board_daily_int_cta_evening,board_daily_int_cta_morning,board_daily_int_p_o_14_evening,board_daily_int_p_o_14_morning,board_daily_int_cta_m_evening,board_daily_int_cta_m_morning,board_daily_int_coop_evening,board_daily_int_coop_morning,board_daily_int_p_b_8_morning,board_daily_int_p_b_8_evening,board_alight_daily_int_cta_evening,board_alight_daily_int_cta_morning,board_alight_daily_int_p_o_14_evening,board_alight_daily_int_p_o_14_morning,board_alight_daily_int_cta_m_evening,board_alight_daily_int_cta_m_morning,board_alight_daily_int_coop_evening,board_alight_daily_int_coop_morning,board_alight_daily_int_p_b_8_morning,board_alight_daily_int_p_b_8_evening,daily_services_period_cta_evening,daily_services_period_cta_morning,daily_services_period_p_o_14_evening,daily_services_period_p_o_14_morning,daily_services_period_cta_m_evening,daily_services_period_cta_m_morning,daily_services_period_coop_evening,daily_services_period_coop_morning,daily_services_period_p_b_8_morning,daily_services_period_p_b_8_evening,routes_cta_evening,routes_cta_morning,routes_p_o_14_evening,routes_p_o_14_morning,routes_cta_m_evening,routes_cta_m_morning,routes_coop_evening,routes_coop_morning,routes_p_b_8_morning,routes_p_b_8_evening,daily_services_morning_all,daily_services_evening_all,daily_services_all,Morning_Formal_BA,Morning_Informal_BA,Morning_All_BA,Daily_Formal_BA,Daily_Informal_BA,Daily_All_BA,geometry,Total_Morning_Boarding,Total_Evening_Boarding,Total_Routes_At_Stop
cairo_maptis_daily_boarding__alighting__by_agency.11,11,15th of May School (Mostorod),6351.0,64.0,139.0,0.0,0.0,356.0,705.0,0.0,0.0,0.0,0.0,64.0,242.0,288.0,484.0,464.0,789.0,1044.0,4240.0,0.0,0.0,304.0,432.0,352.0,728.0,976.0,1340.0,464.0,1060.0,0.0,0.0,4,4,2,2,8,8,1,1,0,0,3560.0,2096.0,5656.0,1031.0,4724.0,5755.0,1559.0,6056.0,7615.0,POINT (334598.29402291565 3334668.1563400677),844.0,420.0,30
cairo_maptis_daily_boarding__alighting__by_agency.12,12,1st Settlement Authority,1234.0,44.0,87.0,0.0,0.0,76.0,194.0,0.0,0.0,0.0,0.0,88.0,234.0,0.0,0.0,328.0,985.0,0.0,0.0,0.0,0.0,464.0,604.0,0.0,0.0,1072.0,1624.0,0.0,0.0,0.0,0.0,8,8,0,0,12,12,0,0,0,0,2228.0,1536.0,3764.0,1219.0,0.0,1219.0,1635.0,0.0,1635.0,POINT (350396.45189477 3325575.7485149703),281.0,120.0,40
cairo_maptis_daily_boarding__alighting__by_agency.13,13,1st Settlement Station,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,124.0,0.0,124.0,155.0,0.0,155.0,155.0,0.0,155.0,POINT (350510.0958196736 3326954.7732920987),0.0,0.0,1
cairo_maptis_daily_boarding__alighting__by_agency.14,14,20 St. & Al Mostaqbal St. (Sheikh Zayed),24.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,56.0,96.0,152.0,9.0,0.0,9.0,33.0,0.0,33.0,POINT (304910.9684402314 3325730.426719924),9.0,0.0,2
cairo_maptis_daily_boarding__alighting__by_agency.15,15,26th of July Corridor & Alex Desert Rd.,72.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0.0,608.0,608.0,0.0,0.0,0.0,0.0,288.0,288.0,POINT (312151.1531222211 3325605.2542601344),0.0,216.0,3
cairo_maptis_daily_boarding__alighting__by_agency.16,16,26th of July Corridor Exit to Alex Desert Rd.,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,548.0,0.0,548.0,0.0,226.0,226.0,0.0,226.0,226.0,POINT (312039.520748277 3325770.7588304672),0.0,0.0,2
cairo_maptis_daily_boarding__alighting__by_agency.17,17,26th of July Mehwar Steps to Ard Al Lewa,617.0,528.0,283.0,760.0,2338.0,0.0,0.0,0.0,0.0,0.0,0.0,668.0,344.0,1176.0,2338.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,316.0,2256.0,1996.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,7,7,0,0,0,0,0,0,2312.0,2608.0,4920.0,344.0,2338.0,2682.0,1012.0,3514.0,4526.0,,2621.0,1288.0,22
cairo_maptis_daily_boarding__alighting__by_agency.18,18,2nd Nasr City Police Station,750.0,160.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,787.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1392.0,1932.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,18,2,0,0,0,0,0,0,0,1932.0,1712.0,3644.0,787.0,0.0,787.0,1131.0,16.0,1147.0,POINT (337282.8641703208 3325583.472137986),237.0,160.0,38
cairo_maptis_daily_boarding__alighting__by_agency.19,19,3rd Settlement Station,1247.0,436.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,0,0,0,0,608.0,512.0,1120.0,745.0,0.0,745.0,1933.0,0.0,1933.0,POINT (349735.64198420744 3318035.910316419),250.0,436.0,6
cairo_maptis_daily_boarding__alighting__by_agency.20,20,5th Settlement Authority,145.0,20.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,98.0,32.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,96.0,196.0,128.0,0.0,0.0,0.0,0.0,0.0,348.0,0.0,2,2,1,0,0,0,0,0,1,0,544.0,224.0,768.0,98.0,87.0,185.0,118.0,119.0,237.0,POINT (347370.7737382131 3319080.8083691723),72.0,20.0,6
cairo_maptis_daily_boarding__alighting__by_agency.21,21,5th Settlement Police Station,88.0,36.0,63.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,112.0,63.0,0.0,0.0,12.0,36.0,0.0,0.0,0.0,0.0,400.0,500.0,0.0,0.0,96.0,144.0,0.0,0.0,0.0,0.0,3,3,0,0,1,1,0,0,0,0,644.0,496.0,1140.0,99.0,0.0,99.0,223.0,0.0,223.0,POINT (348238.545380649 3319579.8025213326),99.0,36.0,8
cairo_maptis_daily_boarding__alighting__by_agency.22,22,6 October Bridge (Mostorod),53.0,0.0,72.0,0.0,35.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,70.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,676.0,208.0,0.0,0.0,0.0,0.0,0.0,0,1,0,2,2,0,0,0,0,0,820.0,208.0,1028.0,90.0,70.0,160.0,110.0,70.0,180.0,POINT (335602.863639366 3335301.555479314),107.0,20.0,5
cairo_maptis_daily_boarding__alighting__by_agency.23,23,6th District (6th of October),848.0,0.0,0.0,312.0,426.0,0.0,0.0,0.0,0.0,651.0,204.0,0.0,0.0,312.0,426.0,0.0,0.0,0.0,0.0,1023.0,680.0,0.0,0.0,192.0,132.0,0.0,0.0,0.0,0.0,372.0,272.0,0,0,2,2,0,0,0,0,1,1,504.0,464.0,968.0,0.0,1449.0,1449.0,0.0,2441.0,2441.0,POINT (298972.1812370875 3313018.6300131073),1077.0,516.0,6
cairo_maptis_daily_boarding__alighting__by_agency.24,24,6th Of October City Authority,110.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0,1312.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,5,0,0,0,0,0,0,1664.0,0.0,1664.0,51.0,87.0,138.0,51.0,87.0,138.0,POINT (302466.75334306434 3318637.153934277),28.0,0.0,9
cairo_maptis_daily_boarding__alighting__by_agency.25,25,6th of October Garden (Helwan),84.0,0.0,0.0,1648.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1648.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,3,0,0,0,0,0,0,580.0,1040.0,1620.0,0.0,420.0,420.0,0.0,2068.0,2068.0,POINT (338611.38942641125 3302269.6859928058),336.0,1648.0,6
cairo_maptis_daily_boarding__alighting__by_agency.26,26,6th of October Panorama,254.0,0.0,0.0,0.0,0.0,32.0,20.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,116.0,172.0,0.0,0.0,0.0,0.0,0.0,304.0,0.0,0.0,960.0,1100.0,0.0,0.0,0.0,0.0,0,5,0,0,8,8,0,0,0,0,1404.0,960.0,2364.0,190.0,0.0,190.0,306.0,0.0,306.0,POINT (336518.37790932774 3328214.8836083226),20.0,32.0,21
cairo_maptis_daily_boarding__alighting__by_agency.27,27,6th Of October University,337.0,44.0,0.0,1132.0,1243.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,1292.0,1376.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0,432.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,4,4,0,0,0,0,0,0,484.0,784.0,1268.0,0.0,1376.0,1376.0,88.0,2668.0,2756.0,POINT (302198.6414972049 3317860.873544636),1243.0,1176.0,12
cairo_maptis_daily_boarding__alighting__by_agency.28,28,7 Omarat,180.0,256.0,91.0,0.0,0.0,48.0,23.0,0.0,0.0,0.0,0.0,288.0,143.0,0.0,0.0,144.0,23.0,0.0,0.0,0.0,0.0,128.0,108.0,0.0,0.0,512.0,688.0,0.0,0.0,0.0,0.0,2,2,0,0,6,6,0,0,0,0,796.0,640.0,1436.0,166.0,0.0,166.0,598.0,0.0,598.0,POINT (339667.291528333 3329701.535492211),114.0,304.0,16
cairo_maptis_daily_boarding__alighting__by_agency.29,29,7th District (Nasr City),771.0,60.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,88.0,36.0,0.0,240.0,269.0,0.0,0.0,0.0,0.0,464.0,648.0,144.0,0.0,880.0,1164.0,0.0,0.0,0.0,0.0,6,6,1,0,9,9,0,0,0,0,1812.0,1488.0,3300.0,357.0,0.0,357.0,817.0,36.0,853.0,POINT (338932.98693880136 3324610.9528224305),22.0,60.0,31
cairo_maptis_daily_boarding__alighting__by_agency.30,30,7th District Entrance (6th of October),1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,160.0,715.0,0.0,0.0,0.0,0.0,127.0,0.0,528.0,0.0,896.0,1600.0,0.0,0.0,0.0,0.0,508.0,0.0,4,0,4,4,0,0,0,0,1,0,2108.0,1424.0,3532.0,0.0,842.0,842.0,28.0,1002.0,1030.0,POINT (301307.13784538716 3318070.1541952374),0.0,0.0,13
cairo_maptis_daily_boarding__alighting__by_agency.31,31,7th District Station (Nasr City),1990.0,552.0,910.0,0.0,0.0,1788.0,1361.0,0.0,0.0,0.0,0.0,1168.0,1253.0,0.0,0.0,2052.0,2128.0,0.0,0.0,0.0,0.0,464.0,648.0,0.0,0.0,1216.0,1668.0,0.0,0.0,0.0,0.0,6,6,0,0,9,9,0,0,0,0,2316.0,1680.0,3996.0,3381.0,0.0,3381.0,6601.0,0.0,6601.0,POINT (338916.7634759745 3324801.434355451),2271.0,2340.0,30
cairo_maptis_daily_boarding__alighting__by_agency.32,32,8th District (6th of October),28.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0.0,352.0,352.0,0.0,0.0,0.0,104.0,0.0,104.0,POINT (300448.9239104808 3317798.9576600967),0.0,76.0,2
cairo_maptis_daily_boarding__alighting__by_agency.33,33,8th District (Nasr City),3788.0,432.0,891.0,0.0,0.0,648.0,2174.0,0.0,0.0,0.0,0.0,1624.0,1514.0,0.0,0.0,2120.0,2675.0,0.0,0.0,0.0,0.0,752.0,1016.0,0.0,0.0,1040.0,1628.0,0.0,0.0,0.0,0.0,12,12,0,0,10,10,0,0,0,0,2644.0,1792.0,4436.0,4189.0,0.0,4189.0,7933.0,0.0,7933.0,POINT (343875.6900926082 3326695.7839542874),3065.0,1080.0,44
cairo_maptis_daily_boarding__alighting__by_agency.34,34,8th District (Shorouq City),122.0,160.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,104.0,128.0,232.0,65.0,0.0,65.0,321.0,0.0,321.0,POINT (365705.9921143822 3337762.391171253),39.0,160.0,2
cairo_maptis_daily_boarding__alighting__by_agency.35,35,Aba Al Kassem Mosque (Autostrad),422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2256.0,4588.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,7,0,0,0,0,0,0,4588.0,2256.0,6844.0,0.0,238.0,238.0,0.0,422.0,422.0,POINT (334766.9470261298 3312589.1626390778),0.0,0.0,14
cairo_maptis_daily_boarding__alighting__by_agency.36,36,Abageyya Bridge,240.0,108.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,102.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,336.0,564.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0,1,0,0,0,0,0,564.0,416.0,980.0,102.0,0.0,102.0,410.0,0.0,410.0,,62.0,108.0,21
cairo_maptis_daily_boarding__alighting__by_agency.37,37,Abbas Al Akkad & Mostafa Al Nahas,478.0,0.0,0.0,0.0,0.0,308.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.0,1004.0,0.0,0.0,0.0,0.0,0,0,0,0,7,7,0,0,0,0,1004.0,736.0,1740.0,379.0,0.0,379.0,847.0,0.0,847.0,,61.0,308.0,14
cairo_maptis_daily_boarding__alighting__by_agency.38,38,Abbaseya,10845.0,984.0,1860.0,2464.0,3724.0,832.0,2304.0,0.0,0.0,0.0,0.0,3104.0,5234.0,3484.0,5608.0,1424.0,4159.0,0.0,0.0,0.0,0.0,2400.0,3100.0,2000.0,3384.0,3936.0,5116.0,0.0,0.0,0.0,0.0,27,27,9,9,33,33,0,0,0,0,11600.0,8336.0,19936.0,9393.0,5608.0,15001.0,13921.0,9092.0,23013.0,POINT (334708.14213740785 3328134.2365397993),7888.0,4280.0,138
cairo_maptis_daily_boarding__alighting__by_agency.39,39,Abbaseya Bridge Entrance,3938.0,336.0,536.0,1512.0,379.0,308.0,631.0,0.0,0.0,0.0,0.0,608.0,2124.0,1512.0,953.0,708.0,1735.0,0.0,0.0,0.0,0.0,2096.0,2676.0,3888.0,4952.0,3648.0,4652.0,0.0,0.0,0.0,0.0,19,19,10,10,19,19,0,0,0,0,12280.0,9632.0,21912.0,3859.0,953.0,4812.0,5175.0,2465.0,7640.0,POINT (335145.33212300076 3327804.4436203386),1546.0,2156.0,96
cairo_maptis_daily_boarding__alighting__by_agency.40,40,Abbaseya Bridge Exit,1023.0,24.0,36.0,52.0,5.0,452.0,41.0,0.0,0.0,0.0,0.0,232.0,186.0,104.0,207.0,656.0,248.0,0.0,0.0,0.0,0.0,1200.0,1596.0,2384.0,4044.0,2480.0,3324.0,0.0,0.0,0.0,0.0,18,18,8,8,26,26,0,0,0,0,8964.0,6064.0,15028.0,434.0,207.0,641.0,1322.0,311.0,1633.0,POINT (334581.2611885346 3328377.9515734212),82.0,528.0,104
cairo_maptis_daily_boarding__alighting__by_agency.41,41,Abbaseya Hospital,803.0,188.0,66.0,0.0,335.0,132.0,223.0,0.0,0.0,0.0,0.0,272.0,174.0,36.0,564.0,196.0,505.0,0.0,0.0,0.0,0.0,1264.0,1568.0,3392.0,3840.0,2656.0,3452.0,0.0,0.0,0.0,0.0,17,17,12,12,18,18,0,0,0,0,8860.0,7312.0,16172.0,679.0,564.0,1243.0,1147.0,600.0,1747.0,POINT (335629.82415799226 3327876.0037027537),624.0,320.0,94
cairo_maptis_daily_boarding__alighting__by_agency.42,42,Abbaseya Square,7071.0,648.0,763.0,2920.0,4230.0,1372.0,3069.0,0.0,0.0,0.0,0.0,1068.0,1496.0,3260.0,7286.0,2080.0,4883.0,0.0,0.0,0.0,0.0,1120.0,1648.0,4064.0,6068.0,3488.0,4800.0,0.0,0.0,0.0,0.0,9,9,6,6,25,25,0,0,0,0,12516.0,8672.0,21188.0,6379.0,7286.0,13665.0,9527.0,10546.0,20073.0,POINT (334739.54005609447 3328212.24604341),8062.0,4940.0,80
cairo_maptis_daily_boarding__alighting__by_agency.43,43,Abbaseya Station,528.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0.0,272.0,272.0,0.0,0.0,0.0,912.0,0.0,912.0,,0.0,384.0,4
cairo_maptis_daily_boarding__alighting__by_agency.44,44,Abboud,15479.0,428.0,1059.0,4028.0,4838.0,600.0,493.0,0.0,0.0,0.0,0.0,1328.0,2473.0,8276.0,12458.0,1052.0,1338.0,0.0,0.0,0.0,0.0,1984.0,2808.0,3744.0,5832.0,1360.0,2080.0,0.0,0.0,0.0,0.0,15,15,10,10,8,8,0,0,0,0,10720.0,7088.0,17808.0,3811.0,12458.0,16269.0,6191.0,20734.0,26925.0,POINT (331753.67674587213 3331830.5954406494),6390.0,5056.0,66
cairo_maptis_daily_boarding__alighting__by_agency.45,45,Abd Al Moneim Riad,23465.0,7208.0,10171.0,6312.0,9622.0,1976.0,2851.0,0.0,0.0,0.0,0.0,12452.0,16264.0,8968.0,13245.0,4192.0,6484.0,0.0,0.0,0.0,0.0,6368.0,8024.0,4864.0,6608.0,4832.0,6248.0,0.0,0.0,0.0,0.0,50,50,11,11,27,27,0,0,0,0,20880.0,16064.0,36944.0,22748.0,13245.0,35993.0,39392.0,22213.0,61605.0,POINT (329535.8411412995 3325586.985621468),22644.0,15496.0,176
cairo_maptis_daily_boarding__alighting__by_agency.46,46,Abd El Aziz St. (Ataba),11624.0,3308.0,2645.0,1104.0,1804.0,1540.0,1432.0,0.0,0.0,0.0,0.0,6064.0,7480.0,1288.0,3856.0,2584.0,2185.0,0.0,0.0,0.0,0.0,1200.0,1820.0,832.0,976.0,608.0,828.0,0.0,0.0,0.0,0.0,16,16,1,1,9,9,0,0,0,0,3624.0,2640.0,6264.0,9665.0,3856.0,13521.0,18313.0,5144.0,23457.0,POINT (331310.8896282574 3325552.558965418),5881.0,5952.0,52
cairo_maptis_daily_boarding__alighting__by_agency.47,47,Abdeen,748.0,224.0,200.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,488.0,556.0,0.0,0.0,20.0,135.0,0.0,0.0,0.0,0.0,960.0,1260.0,0.0,0.0,352.0,500.0,0.0,0.0,0.0,0.0,16,16,0,0,5,5,0,0,0,0,1760.0,1312.0,3072.0,691.0,0.0,691.0,1199.0,0.0,1199.0,POINT (330847.4706962771 3324641.7460518116),227.0,224.0,42
cairo_maptis_daily_boarding__alighting__by_agency.48,48,Abdel Menaam Reyad Mosque (Nile Corniche),310.0,0.0,0.0,524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2160.0,2104.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,4,0,0,0,0,0,0,2104.0,2160.0,4264.0,0.0,34.0,34.0,0.0,834.0,834.0,,0.0,524.0,8
