Stop_Name,board_daily_int_cta_morning,board_daily_int_p_o_14_morning,board_daily_int_cta_m_morning,board_daily_int_coop_morning,board_daily_int_p_b_8_morning,board_daily_int_cta_evening,board_daily_int_p_o_14_evening,board_daily_int_cta_m_evening,board_daily_int_coop_evening,board_daily_int_p_b_8_evening,Total_Morning_Boarding,Total_Evening_Boarding
Al Aziz Bellah (Gesr Al Suez),13.0,0.0,46.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,59.0,20.0
Al Aziz Bellah St. &  Selim Al Awwal St.,197.0,0.0,336.0,0.0,0.0,204.0,0.0,176.0,0.0,0.0,533.0,380.0
Al Azizeya Bridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Badrasheen City Council,0.0,0.0,0.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,0.0
Al Bahr Al Aazam St. Exit End,0.0,158.0,0.0,0.0,0.0,0.0,252.0,0.0,0.0,0.0,158.0,252.0
Al Bahr Al Aazam St. Exit Start,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,156.0
Al Baloun Theatre (Al Agouza),560.0,0.0,54.0,0.0,0.0,544.0,28.0,168.0,0.0,0.0,614.0,740.0
Al Banat Mosque,6084.0,784.0,1228.0,0.0,0.0,2423.2206128719813,784.0,2288.0,0.0,0.0,8096.0,5495.220612871981
Al Banhawi,423.0,2192.0,642.0,0.0,0.0,384.0,1520.0,864.0,0.0,0.0,3257.0,2768.0
Al Barageel Entrance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Barageel Steps (Ring Rd.),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Bassous,0.0,760.0,0.0,0.0,0.0,0.0,672.0,0.0,0.0,0.0,760.0,672.0
Al Bassous Steps - Ring Road,9.0,0.0,0.0,0.0,0.0,16.0,144.0,0.0,0.0,0.0,9.0,160.0
Al Batal Ahmed - Saheb Al Diwan,0.0,1008.0,0.0,0.0,0.0,0.0,2072.0,0.0,0.0,0.0,1008.0,2072.0
Al Bibany St.,442.0,84.0,54.0,0.0,0.0,236.0,28.0,0.0,0.0,0.0,580.0,264.0
Al Bohi (Imbaba),351.0,2226.0,0.0,0.0,0.0,64.0,2144.0,0.0,0.0,0.0,2577.0,2208.0
Al Central (Laylat Al Qadr),0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,64.0
Al Central St. & Abou Al Farag St.,18.0,0.0,88.0,0.0,0.0,16.0,0.0,168.0,0.0,0.0,106.0,184.0
Al Dandarawy St. & Basateen Rd.,0.0,0.0,22.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,22.0,12.0
Al Darb Al Ahmar Police Station,132.0,0.0,27.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,159.0,32.0
Al Darraasa Traffic Department,57.0,0.0,0.0,0.0,0.0,0.0,228.0,136.0,0.0,0.0,57.0,364.0
Al Dawagen (Nile Corniche),0.0,79.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,79.0,172.0
Al Demerdash Hospital,344.0,0.0,456.0,0.0,0.0,88.0,0.0,164.0,0.0,0.0,800.0,252.0
Al Demerdash Metro,659.0,0.0,675.0,0.0,0.0,360.0,0.0,456.0,0.0,0.0,1334.0,816.0
Al Eman Mosque (Makram Ebeid),0.0,0.0,328.0,0.0,0.0,0.0,0.0,448.0,0.0,0.0,328.0,448.0
Al Etaby Center,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,48.0
Al Ezaby Pharmacy Al Mehwar Al Markazi (6th of October),0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0
Al Farag Butchery ( Magra Al Oyoun),468.0,0.0,279.0,0.0,0.0,360.0,0.0,52.0,0.0,0.0,747.0,412.0
Al Faragany (Ain Shams St.),13.0,0.0,246.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,259.0,100.0
