Terminal_ID,Terminal_Name,Population_2018,Jobs_In_Hex,Vehicles_At_Terminal,Passengers_At_Terminal,Pax_Per_Vehicle_Ratio
48,6th District - 6th of October (Al Souq Al Qadeem),18776.0,5061.0,0.0,0.0,
49,Helwan,14656.0,9405.0,161.0,2935.0,18.229813664596275
50,Zayed 2000,917.0,2482.0,0.0,0.0,
51,Al Motamayez,111.0,625.0,0.0,0.0,
52,Horia Square,13363.0,13765.0,152.0,1330.0,8.75
53,Al Sa'a Square,8007.0,7227.0,99.0,3579.411827994847,36.15567503025098
54,7th District (Nasr City),14188.0,9015.0,160.0,1977.7017151527116,12.360635719704447
55,Haram & Marioteya,21491.0,5007.0,90.0,760.0,8.444444444444445
56,Sphinx Airport,,,0.0,0.0,
59,Abageyah,6593.0,345.0,28.0,4636.954663237505,165.60552368705376
60,CIC,1825.0,3282.0,37.0,210.0,5.675675675675675
61,Al Warraq,11809.0,1773.0,0.0,0.0,
62,Masaken Al Wehda,49431.0,22382.0,13.0,685.0,52.69230769230769
63,Masaken Zeinhom,35752.0,10286.0,78.0,1702.0,21.82051282051282
65,Al Hegaz (Obour Police ),1889.0,4369.0,25.0,0.0,0.0
66,Gas (Banks Area),2446.0,2538.0,71.0,336.24068607842855,4.7357843109637825
68,Imbaba Ferry,,,143.0,6057.130477886786,42.357555789418086
69,Obour,1889.0,794.0,14.0,140.0,10.0
70,7th District (6th of October),698.0,2733.0,0.0,0.0,
72,Hegaz Square,10423.0,5793.0,281.0,9583.0,34.10320284697509
73,1st Settlement (New Cairo),870.0,1130.0,113.0,1837.2542236214354,16.258886934702968
74,Cairo University Ferry,3702.0,21697.0,3.0,72.0,24.0
75,Masaken Sheraton,969.0,1106.0,69.0,130.0,1.8840579710144927
76,Industrial Zone 3,0.0,4594.0,10.0,0.0,0.0
77,Qalaa,14456.0,3585.0,124.0,608.9861697554194,4.911178788350156
78,Al Mostaqbal Entrance,18776.0,5061.0,93.0,405.0,4.354838709677419
79,Motseian,16659.0,22093.0,61.0,187.0,3.0655737704918034
80,Al Mostafa Mosque,905.0,376.0,4.0,210.0,52.5
81,15th of May,1646.0,303.0,13.0,0.0,0.0
82,Moneeb Konayyesa,59648.0,10463.0,170.0,954.0,5.6117647058823525
84,Hamada Emam,0.0,2276.0,0.0,0.0,
85,New Marg,50933.0,7392.0,82.0,1627.7988801638694,19.851205855656943
86,Al Shabab Entrance,2564.0,897.0,146.0,2103.0,14.404109589041095
87,Al Shorouq Water,1435.0,544.0,23.0,234.0,10.173913043478262
88,Matbaa,62356.0,12405.0,151.0,6668.0,44.158940397350996
89,Masallah Al Gadeda (Matareyya),28896.0,3014.0,10.0,1017.0,101.7
91,Al Nozha Al Gadida (Gesr El Suez Garage),27503.0,7470.0,59.0,824.0,13.966101694915254
92,Abbasseya,22092.0,18254.0,256.0,3558.0,13.8984375
93,Badrasheen Ferry,,,0.0,0.0,
94,Cairo Airport,969.0,1137.0,56.0,1470.0,26.25
97,Qalyoub,5920.0,3303.0,22.0,865.0,39.31818181818182
99,Matareya Square,41610.0,8317.0,388.0,7423.0,19.13144329896907
100,Daewoo,0.0,4553.0,0.0,0.0,
101,Hyper 1,948.0,83.0,204.0,510.0,2.5
102,Dolce,14027.0,3257.0,61.0,405.0,6.639344262295082
103,Masaken Ain Shams,68141.0,12820.0,58.0,1195.0,20.603448275862068
104,New Cairo Court,2795.0,3139.0,10.0,0.0,0.0
106,Isbiko,18382.0,2114.0,28.0,1335.0,47.67857142857143
107,Masaken Othman (6th of October),,,0.0,0.0,
108,Dandy Mall,,,13.0,201.77607273601348,15.521236364308729
109,Zahraa Madinet Nasr,,,7.0,0.0,0.0
110,Kattameya (Mahmoudeya),6859.0,1648.0,2.0,44.0,22.0
111,Arabella Square,5388.0,1397.0,193.0,2660.0,13.782383419689118
112,Maspero Ferry,,,538.0,885.6590545990437,1.6462064211878136
113,Arab Maadi,9966.0,4624.0,52.0,1946.0,37.42307692307692
114,Al Shorouq Academy,,,8.0,0.0,0.0
116,Remaya Square,20920.0,3994.0,102.0,706.6063209466417,6.927512950457272
117,Hadaba Wosta (Moqattam),13082.0,1662.0,5.0,145.0,29.0
118,AUC Bus,11.0,67.0,9.0,287.24068607842855,31.91563178649206
119,Al Toub Al Ramly,2044.0,1925.0,0.0,0.0,
120,Helwan Post Office,14656.0,9405.0,4.0,55.0,13.75
121,Laylat Al Qadr,,,202.0,315.0,1.5594059405940595
122,Helwan Metro,14656.0,9405.0,9.0,84.0,9.333333333333334
123,Al Hamd Square,2795.0,3139.0,102.0,1206.0,11.823529411764707
124,11th District (6th of October),3334.0,2949.0,25.0,262.0,10.48
125,New Cairo Academy,4333.0,1197.0,83.0,371.0,4.469879518072289
126,Bohooth (Al Kobri Al Khashab),35131.0,16656.0,209.0,3756.3867838082965,17.97314250625979
127,Abou Wafya,50689.0,13438.0,195.0,1988.0,10.194871794871794
128,Can Can 12th District  (6th of October),,,0.0,184.0,
130,Mamaleek -Manial (Meqyas),15183.0,6337.0,15.0,39.0,2.6
132,Zamalek Ferry,,,0.0,0.0,
133,Masarra,46472.0,15114.0,5.0,0.0,0.0
134,Isko,40766.0,19155.0,5.0,2077.0,415.4
135,Kattameya Church,6284.0,1358.0,46.0,365.0,7.934782608695652
136,10th of Ramadan City,,,15.0,224.0,14.933333333333334
137,Bulaq Al Dakrur,32326.0,25248.0,108.0,6417.0,59.416666666666664
138,Hadaek EL Kobba,37617.0,8685.0,483.0,5385.0,11.149068322981366
139,Mostorod,66989.0,4410.0,0.0,0.0,
140,Awwel Al Zawya Al Hamra,71616.0,10579.0,251.0,6312.0,25.147410358565736
142,Tagneed (Al Remaya),0.0,1709.0,0.0,0.0,
143,Zahraa Ain Shams,82820.0,13835.0,266.0,302.0,1.1353383458646618
144,Mazlaqan Ain Shams,73740.0,16325.0,221.0,4533.0,20.511312217194572
145,Ezbet Al Nakhl,60950.0,14440.0,69.0,866.0,12.55072463768116
146,Ain Shams Metro,73740.0,16325.0,8.0,0.0,0.0
147,Masaken Helmeyet Al Zaitoun,57013.0,13783.0,3.0,28.0,9.333333333333334
148,Abou Rawwash,1563.0,31.0,0.0,0.0,
149,Kerdasa,7942.0,3001.0,43.0,439.0,10.209302325581396
150,Ramses,17254.0,47776.0,10.0,140.0,14.0
151,Amiriya,36520.0,4224.0,45.0,988.0,21.955555555555556
152,Ibrahim Bek,42989.0,19982.0,27.0,2031.0,75.22222222222223
153,Qalyoub El Balad,5919.0,3481.0,39.0,1610.0,41.282051282051285
154,Al Wehda Imbaba (Al Bohi),51255.0,19463.0,175.0,4581.0,26.177142857142858
155,Warraq Al Arab (Cima),51263.0,15933.0,41.0,1578.0,38.48780487804878
156,Ghamra,41977.0,13166.0,455.0,2858.4161336308125,6.28223326072706
157,Akher Faisal,27066.0,5167.0,18.0,268.0,14.88888888888889
158,Attaba,11934.0,49283.0,312.0,17798.0,57.044871794871796
159,Mosheer Ahmed Ismail (Sheraton),969.0,1137.0,0.0,0.0,
160,Qalyoub Exit,7539.0,811.0,110.0,1954.0761586757749,17.764328715234317
161,Nahda City,8675.0,937.0,16.0,211.0,13.1875
162,Al Sayeda Nafeesa,16999.0,2942.0,27.0,468.0,17.333333333333332
163,Kit Kat Square,22315.0,28411.0,314.0,4254.552208234525,13.54952932558766
165,Asmarrat,,,8.0,246.0,30.75
166,Masaken Al Shorouq,10624.0,2525.0,28.0,233.0,8.321428571428571
167,Arab Al Tawaila,77745.0,9102.0,110.0,1658.0,15.072727272727272
168,Al Banhawi,30251.0,26977.0,256.0,6902.0,26.9609375
169,Sharabeya,50588.0,6188.0,0.0,0.0,
170,Awwel Makram Ebeid,11839.0,10525.0,119.0,1114.415280276708,9.364834288039564
171,Masaken Betcho,625.0,1153.0,25.0,439.0,17.56
172,Hadayeq Helwan,23062.0,6387.0,10.0,0.0,0.0
173,Ahmed Maher Hospital,38977.0,20033.0,838.0,11508.179754490513,13.732911401539992
174,Badrasheen,5590.0,3117.0,3.0,0.0,0.0
175,Saqqara,2435.0,272.0,0.0,392.0,
176,26th of July & Ring Rd,39462.0,9192.0,167.0,1535.0267023643942,9.191776660864635
177,Madinat Al Talaba (Imbaba),31327.0,25674.0,62.0,203.3826623637137,3.2803655219953822
178,Haram Talbeya,53861.0,16571.0,164.0,2049.484642533061,12.496857576421105
179,Haram Areesh (Sahl Hamza),32100.0,12578.0,135.0,2514.8409505722334,18.628451485720248
180,Basrawy,63097.0,12603.0,86.0,1360.0,15.813953488372093
182,Om Bayoumi (Mintay),45074.0,11682.0,7.0,317.2602620163441,45.32289457376344
183,Al Shaboory Canal,18816.0,4767.0,141.0,4737.0,33.59574468085106
184,Al Shari' Al Gadeed  (Bahteem),42989.0,19982.0,382.0,9693.0,25.37434554973822
185,Khosous,51306.0,18349.0,0.0,0.0,
186,Al Bassous Steps (Ring Rd),8886.0,1422.0,154.0,1179.846651407831,7.661341892258642
187,Bahtim Square,40763.0,19153.0,69.0,2337.0,33.869565217391305
188,Qawmeya Arabeya,51295.0,10232.0,5.0,0.0,0.0
189,Mazallat,28240.0,11866.0,0.0,0.0,
190,Rabaah Al Adaweya Mosque,9995.0,9954.0,889.0,12469.427915329628,14.026353110607007
191,Awwel Abbas,15912.0,15856.0,498.0,5562.007861614212,11.1686904851691
192,Salam Alexandria,18231.0,2487.0,0.0,0.0,
194,Jazirat Mohamed,11809.0,1773.0,0.0,190.13047788678597,
195,Awsim,6187.0,4414.0,0.0,0.0,
196,Athar Al Naby,43428.0,8125.0,123.0,2488.0,20.227642276422763
197,Tibeen,6066.0,3287.0,0.0,0.0,
198,Saft Al Laban,70509.0,9199.0,140.0,944.0,6.742857142857143
