Route_Code,Vehicle_Type,Route_Length_km,Vehicle_Capacity
P_O_14_CA011,Microbus,8.44234530838648,14
49Lt1kKFfGCSPZKc8R4LQ,Microbus,69.5722152911719,14
bBGSiORySswlj4oOCxk3H,Microbus,72.115357544062,14
jZkmaAxA5oIPfa38GBCb4,Microbus,32.4938724188247,14
egjPD6593CKn95Mk98b1K,Minibus,16.1700981949971,33
u02rskAm9s9jHxaOs9NhQ,Bus,18.0759736941808,49
OV9c3M2XEp7fizUlcqY26,Microbus,15.0643106502297,14
MXkuS2j7tp4MjRSbo-Q6f,Microbus,3.6268999500598,14
22jIZH2MmWm88pZ3MORG_,Microbus,50.48945985779,14
CTA_1144,Bus,17.1695223394774,49
CTA_970-1051,Bus,26.2963607938847,49
wt6gx-bxKC-Iyl7o604Vq,Microbus,49.7609201428685,14
CTA_915,Bus,17.2529783698158,49
P_O_14_6O021,Microbus,11.2440584609649,14
P_O_14_IG082,Microbus,2.36769992980716,14
DbgUPH8AHAnBT59Ux_FrC,Bus,17.8449158843685,49
iPmb6Kx9epuWwMHetjCnF,Microbus,22.9839486685465,14
CTA_1009,Bus,23.6862866621612,49
P_O_14_CA081,Microbus,9.04513910709133,14
CTA_M_158,Minibus,23.453472825623,33
CTA_1078,Bus,44.2593351456816,49
Ci3EuISJ24C8rXJIGK05p,Microbus,13.4968781524496,14
P_O_14_IG060,Microbus,6.22442210773766,14
CTA_1123,Bus,17.3192866209115,49
P_O_14_IC063,Microbus,42.2133717039282,14
P_O_14_CA097,Microbus,3.83969235990074,14
CTA_507,Bus,28.5582611496782,49
P_O_14_CA162,Microbus,5.19517775341232,14
BamKiGYQ3P_xZETsNX1a5,Microbus,7.71891641688156,14
P_O_14_CA019,Microbus,3.17046851041401,14
2eCfQDCqolqzBE6SOlWnJ,Microbus,4.72813748965574,14
Y-YHy-wjklAYFa_6LghGz,Bus,24.0458257299894,49
P_O_14_IG024,Microbus,29.2992118158999,14
