H3_Hex_ID,Population_2018,Jobs_In_Hex,Boarding_Total_Hex,Underserved_Score
883e621557fffff,4287,396,65.0,0.0
883e621559fffff,4287,396,0.0,0.21442622950819668
883e62155bfffff,2524,272,0.0,0.11770491803278688
883e62155dfffff,4129,179,53.0,0.0
883e621563fffff,3268,139,0.0,0.1580327868852459
883e6215c5fffff,2350,177,0.0,0.10950819672131146
883e6215c7fffff,881,7,0.0,0.0
883e6215cdfffff,4285,354,0.0,0.21245901639344267
883e6215e1fffff,881,11,0.0,0.0
883e6215e3fffff,839,6,0.0,0.0
883e6215e5fffff,881,9,0.0,0.0
883e6215e7fffff,964,27,0.0,0.0
883e6215edfffff,881,11,0.0,0.0
883e621625fffff,3274,1242,96.0,0.0
883e621627fffff,3292,1156,0.0,0.1622950819672131
883e62162dfffff,3178,1308,0.0,0.15344262295081967
883e621665fffff,6854,2462,0.0,0.3226229508196722
883e621667fffff,2847,824,1071.0,0.0
883e62166dfffff,13667,1456,1011.0,0.02688524590163932
883e6216a5fffff,773,397,0.0,0.0
883e621701fffff,5708,2161,0.0,0.28196721311475414
883e621705fffff,5590,2651,62.0,0.0
883e621707fffff,5590,2991,0.0,0.27442622950819673
883e62170bfffff,9281,439,873.0,0.0
883e621711fffff,18617,1290,0.0,0.4937704918032787
883e621713fffff,13509,1785,0.0,0.4478688524590164
883e621715fffff,9335,536,0.0,0.38393442622950824
883e621717fffff,27980,1668,0.0,0.5429508196721311
883e621719fffff,5083,1018,0.0,0.25016393442622953
883e62171bfffff,3292,1177,748.0,0.0
883e62171dfffff,9336,536,0.0,0.3849180327868853
883e621729fffff,5590,3117,3870.0,0.0
883e62172bfffff,5590,3117,3138.0,0.0
883e62172dfffff,4975,1384,0.0,0.238688524590164
883e621733fffff,8862,523,0.0,0.3724590163934426
883e621735fffff,4343,1283,0.0,0.2177049180327869
883e62173bfffff,9335,536,1872.0,0.0
883e62173dfffff,5589,3117,0.0,0.27278688524590167
883e621741fffff,9628,4526,2376.0,0.0
883e621749fffff,12232,5506,0.0,0.42819672131147546
883e62174dfffff,11076,3868,0.0,0.41377049180327874
883e621751fffff,13914,3160,0.0,0.45377049180327866
883e621753fffff,3179,1570,232.0,0.0
883e621755fffff,10144,801,2170.0,0.0
883e621757fffff,8652,651,0.0,0.36786885245901635
883e621759fffff,23062,6387,0.0,0.5219672131147541
883e62175bfffff,3392,1618,0.0,0.17180327868852463
883e62175dfffff,23595,5969,2081.0,0.04327868852459016
883e621761fffff,4768,708,0.0,0.2308196721311475
883e621767fffff,4756,858,0.0,0.2301639344262295
883e621769fffff,4806,768,0.0,0.23213114754098363
883e628003fffff,9296,1067,566.0,0.0
883e628009fffff,5009,499,0.0,0.2419672131147541
883e62800bfffff,5912,830,0.0,0.2891803278688525
883e628011fffff,9295,1496,0.0,0.38229508196721307
883e628013fffff,18567,11789,455.0,0.10622950819672128
883e628015fffff,8465,793,5416.0,0.0
883e628019fffff,8780,1492,1151.0,0.0
883e62801bfffff,21124,4336,8321.0,0.0
883e62801dfffff,8886,1422,313.0,0.0009836065573769481
883e628029fffff,8188,1418,0.0,0.358688524590164
883e62802bfffff,4674,17,0.0,0.22622950819672127
883e628031fffff,7324,728,0.0,0.33377049180327867
883e628033fffff,8980,556,40.0,0.044590163934426164
883e628035fffff,7337,645,0.0,0.33442622950819667
883e628037fffff,11809,1773,323.0,0.04590163934426239
883e62803dfffff,5065,96,0.0,0.24852459016393447
883e628041fffff,5883,636,0.0,0.2878688524590164
883e628043fffff,5009,702,0.0,0.2419672131147541
883e628047fffff,5009,473,0.0,0.2419672131147541
883e628049fffff,8100,814,0.0,0.35672131147540986
883e62804dfffff,6434,615,0.0,0.3134426229508197
883e628053fffff,3450,481,0.0,0.17508196721311475
883e628055fffff,5010,603,1026.0,0.0
883e628059fffff,5919,1930,0.0,0.2911475409836065
883e62805bfffff,5820,1364,0.0,0.28524590163934427
883e628065fffff,1201,222,0.0,0.0
883e628067fffff,9910,2411,0.0,0.39344262295081966
883e628081fffff,46525,21299,2198.0,0.12196721311475411
883e628083fffff,29221,8590,103.0,0.20000000000000007
883e628085fffff,26722,29813,39096.0,0.0
883e628087fffff,45273,6217,5612.0,0.049180327868852514
883e628089fffff,49431,22382,11720.0,0.0013114754098360049
883e62808bfffff,40339,18921,8468.0,0.0
