Terminal_ID,Terminal_Name,Vehicles_At_Terminal,Passengers_At_Terminal,Pax_Per_Vehicle_Ratio,Veh_Segments_Count,Pax_Segments_Count,Empty_Return_Index,Veh_log,Pax_log,Empty_Severity
88,Matbaa,151.0,6668.0,44.158940397350996,4,24,0.0,5.0238805208462765,8.805225202632306,0.0
89,Masallah Al Gadeda (Matareyya),10.0,1017.0,101.7,2,7,0.0,2.3978952727983707,6.925595197110468,0.0
91,Al Nozha Al Gadida (Gesr El Suez Garage),59.0,824.0,13.966101694915254,7,10,0.0,4.0943445622221,6.715383386334681,0.0
92,Abbasseya,256.0,3558.0,13.8984375,4,17,0.0,5.54907608489522,8.177234885510194,0.0
93,Badrasheen Ferry,0.0,0.0,,0,0,,0.0,0.0,
94,Cairo Airport,56.0,1470.0,26.25,3,18,0.0,4.04305126783455,7.293697720601438,0.0
97,Qalyoub,22.0,865.0,39.31818181818182,1,7,0.0,3.1354942159291497,6.763884908562435,0.0
99,Matareya Square,388.0,7423.0,19.13144329896907,14,18,0.0,5.963579343618446,8.912473274466036,0.0
100,Daewoo,0.0,0.0,,0,0,,0.0,0.0,
101,Hyper 1,204.0,510.0,2.5,7,5,0.0,5.3230099791384085,6.236369590203704,0.0
103,Masaken Ain Shams,58.0,1195.0,20.603448275862068,7,15,0.0,4.07753744390572,7.086737934510577,0.0
104,New Cairo Court,10.0,0.0,0.0,2,0,1.0,2.3978952727983707,0.0,2.3978952727983707
106,Isbiko,28.0,1335.0,47.67857142857143,3,13,0.0,3.367295829986474,7.197435354096591,0.0
107,Masaken Othman (6th of October),0.0,0.0,,0,0,,0.0,0.0,
108,Dandy Mall,13.0,201.77607273601348,15.521236364308729,2,2,0.0,2.6390573296152584,5.312102280219882,0.0
109,Zahraa Madinet Nasr,7.0,0.0,0.0,2,0,1.0,2.0794415416798357,0.0,2.0794415416798357
110,Kattameya (Mahmoudeya),2.0,44.0,22.0,1,2,0.0,1.0986122886681098,3.8066624897703196,0.0
111,Arabella Square,193.0,2660.0,13.782383419689118,10,12,0.0,5.267858159063328,7.886457270977689,0.0
112,Maspero Ferry,538.0,885.6590545990437,1.6462064211878136,4,5,0.0,6.289715570908998,6.787460528032111,0.0
113,Arab Maadi,52.0,1946.0,37.42307692307692,2,5,0.0,3.970291913552122,7.5740450053721995,0.0
114,Al Shorouq Academy,8.0,0.0,0.0,1,0,1.0,2.1972245773362196,0.0,2.1972245773362196
