Stop_Name,Morning_Formal_BA,Morning_Informal_BA,Daily_Formal_BA,Daily_Informal_BA,Morning_All_BA,Daily_All_BA,geometry,Formal_Share_Morning,Formal_Share_Daily,Formal_Percentage_Morning,Formal_Percentage_Daily,Dominant_Morning,Dominant_Daily,Dominance_Shifted
Abu Al Gheit Ambulance Service,194.0,660.0,234.0,792.0,854.0,1026.0,POINT (326463.831051199 3337688.3337486424),0.22716627634660422,0.22807017543859648,0.22716627634660422,0.22807017543859648,Informal,Informal,False
Abu Al Houl ( Mansoureyya Rd. ),0.0,0.0,24.0,192.0,0.0,216.0,,,0.1111111111111111,,0.1111111111111111,Informal,Informal,False
Abu Al Houl St.,506.0,0.0,1250.0,0.0,506.0,1250.0,POINT (320835.3401353423 3317753.9882220137),1.0,1.0,1.0,1.0,Formal,Formal,False
Abu Bakr Al Sedeeq Mosque - Sheraton,280.0,0.0,280.0,0.0,280.0,280.0,POINT (343515.48664823134 3331041.2195407283),1.0,1.0,1.0,1.0,Formal,Formal,False
Abu Bakr Al Sediq Mosque (Sheraton),400.0,0.0,904.0,0.0,400.0,904.0,POINT (343386.0995713663 3331084.9741812903),1.0,1.0,1.0,1.0,Formal,Formal,False
Abu El Numrus,0.0,2148.0,0.0,3684.0,2148.0,3684.0,POINT (329301.5759534871 3315622.5944886603),0.0,0.0,0.0,0.0,Informal,Informal,False
Abu Khater (Al Matareyya),2098.0,281.0,2758.0,321.0,2379.0,3079.0,POINT (336052.5369805327 3333949.7798639527),0.8818831441782261,0.8957453718739851,0.8818831441782261,0.8957453718739851,Formal,Formal,False
Abu Makarem Mosque (Al Waili),70.0,0.0,82.0,0.0,70.0,82.0,POINT (334148.32038121833 3326189.773613986),1.0,1.0,1.0,1.0,Formal,Formal,False
Adawy (Nile Corniche),0.0,307.0,0.0,1147.0,307.0,1147.0,POINT (334655.7712804777 3308567.9406192424),0.0,0.0,0.0,0.0,Informal,Informal,False
Aden St & Sudan St,0.0,1422.0,116.0,1462.0,1422.0,1578.0,,0.0,0.07351077313054499,0.0,0.07351077313054499,Informal,Informal,False
Adidas Steps (Ring Rd.),273.0,502.0,745.0,566.0,775.0,1311.0,POINT (338092.79323723936 3318194.1851688456),0.352258064516129,0.5682684973302822,0.352258064516129,0.5682684973302822,Informal,Formal,True
Afendina Dome ( Manshiyat Nasser ),350.0,489.0,598.0,941.0,839.0,1539.0,,0.4171632896305125,0.3885640025990903,0.4171632896305125,0.3885640025990903,Informal,Informal,False
Agouza Corniche,393.0,140.0,717.0,252.0,533.0,969.0,POINT (328206.89192756417 3325274.524036847),0.7373358348968105,0.739938080495356,0.7373358348968105,0.739938080495356,Formal,Formal,False
Agouza Police Hospital,839.0,296.0,1331.0,416.0,1135.0,1747.0,POINT (328082.70770539093 3325921.219601222),0.7392070484581498,0.7618775042930739,0.7392070484581498,0.7618775042930739,Formal,Formal,False
Agricultural Center (Badrasheen),0.0,1764.0,0.0,2340.0,1764.0,2340.0,POINT (330697.67091051285 3303610.9203659524),0.0,0.0,0.0,0.0,Informal,Informal,False
Agricultural Research Center - Cairo University,702.0,0.0,990.0,84.0,702.0,1074.0,POINT (327519.67873398744 3322465.7260529436),1.0,0.9217877094972067,1.0,0.9217877094972067,Formal,Formal,False
Agyad School (Betcho),0.0,0.0,0.0,240.0,0.0,240.0,POINT (338856.1322165271 3317026.356959188),,0.0,,0.0,Informal,Informal,False
Ahli Bank (Al Nadi Al Gedid St.),315.0,1632.0,611.0,2708.0,1947.0,3319.0,POINT (333271.7863891789 3316639.180835001),0.1617873651771957,0.18409159385357035,0.1617873651771957,0.18409159385357035,Informal,Informal,False
Ahli Kuwaiti Bank (Sudan St),179.0,765.0,239.0,1377.0,944.0,1616.0,,0.1896186440677966,0.1478960396039604,0.1896186440677966,0.1478960396039604,Informal,Informal,False
Ahmed Al Sallab Mall (Nasr City),2193.0,759.0,3073.0,759.0,2952.0,3832.0,POINT (338396.55213218054 3325704.65348829),0.7428861788617886,0.8019311064718163,0.7428861788617886,0.8019311064718163,Formal,Formal,False
Ahmed Badawi St.,6831.0,1182.0,11367.0,1686.0,8013.0,13053.0,POINT (330841.73611440556 3327431.9262929005),0.8524897042306252,0.8708342909675937,0.8524897042306252,0.8708342909675937,Formal,Formal,False
Ahmed Esmat St. & Ain Shams St.,281.0,0.0,469.0,0.0,281.0,469.0,POINT (338304.9799052294 3334285.8473677263),1.0,1.0,1.0,1.0,Formal,Formal,False
Ahmed Fakhry and Autostrad,4711.0,921.0,6791.0,1273.0,5632.0,8064.0,POINT (340801.2500052536 3327655.4485408217),0.8364701704545454,0.8421378968253969,0.8364701704545454,0.8421378968253969,Formal,Formal,False
Ahmed Helmy,12594.0,3611.0,20742.0,10083.0,16205.0,30825.0,POINT (330806.7163435186 3327281.1424968066),0.7771675408824437,0.6728953771289538,0.7771675408824437,0.6728953771289538,Formal,Formal,False
Ahmed Ismail Square (Alf Maskan),0.0,0.0,0.0,1200.0,0.0,1200.0,POINT (339496.6488863996 3333414.2643696875),,0.0,,0.0,Informal,Informal,False
Ahmed Maher Teaching Hospital,6455.0,1225.0,9162.068214097717,1537.0,7680.0,10275.262839271729,POINT (331305.3444669902 3324476.7624952006),0.8404947916666666,0.8916626618134363,0.8404947916666666,0.8916626618134363,Formal,Formal,False
Ahmed Oraby Metro,4282.0,1819.0,7586.0,3275.0,6101.0,10861.0,POINT (330468.79960573826 3326459.380394787),0.7018521553843632,0.6984623883620292,0.7018521553843632,0.6984623883620292,Formal,Formal,False
Ahmed Oraby Square (Obour),13.0,86.0,13.0,86.0,99.0,99.0,POINT (351540.7195380976 3344768.2192541454),0.13131313131313133,0.13131313131313133,0.13131313131313133,0.13131313131313133,Informal,Informal,False
Ahmed Oraby St.,5768.0,1940.0,10148.0,4272.0,7708.0,14420.0,POINT (330616.4866179107 3326835.78066164),0.7483134405812143,0.70374479889043,0.7483134405812143,0.70374479889043,Formal,Formal,False
