Stop_Name,Daily_All_BA,Morning_All_BA,routes_cta_evening,routes_cta_morning,routes_p_o_14_evening,routes_p_o_14_morning,routes_cta_m_evening,routes_cta_m_morning,routes_coop_evening,routes_coop_morning,routes_p_b_8_morning,routes_p_b_8_evening,Total_Routes_At_Stop
Zahraa Madinet Nasr,1292.0,1028.0,1,0,2,2,0,2,0,0,0,0,7
Zahraa Metro,4597.0,2405.0,5,5,2,2,0,1,0,0,1,1,17
Zahraa Nasr City,5533.0,2721.0,5,5,2,2,15,15,0,0,0,0,44
Zain Paint Store (Al Rawda Sheikh Zayed),65.0,5.0,1,1,0,0,0,0,0,0,0,0,2
Zaker Hussein St. & Al Tayaran St.,5626.0,4546.0,6,6,2,2,9,9,0,0,0,0,34
Zamalek Sporting Club,1289.0,505.0,4,4,5,5,0,0,0,0,0,0,18
Zamzam Specialized Hospital (Om Bayoumi),2895.0,1883.0,4,4,0,0,0,0,0,0,0,0,8
Zayed 2000,795.0,479.0,4,4,5,5,0,0,0,0,0,0,18
Zayed Boys Secondary School,21.0,9.0,1,1,0,0,0,0,0,0,0,0,2
Zenin,9173.0,4309.0,0,0,5,5,2,2,0,0,0,0,14
Zewail Rd. (Wahat Rd.),176.0,0.0,0,0,1,0,0,0,0,0,0,0,1
Zohour City (Basateen Rd.),334.0,94.0,3,3,0,0,0,0,0,0,0,0,6
