Stop_Name,Daily_All_BA,Morning_All_BA,routes_cta_evening,routes_cta_morning,routes_p_o_14_evening,routes_p_o_14_morning,routes_cta_m_evening,routes_cta_m_morning,routes_coop_evening,routes_coop_morning,routes_p_b_8_morning,routes_p_b_8_evening,Total_Routes_At_Stop
Moneeb Station,108.0,108.0,0,0,0,3,0,0,0,0,0,0,3
Montasser (Nile Corniche),1234.0,734.0,1,1,4,4,0,0,0,0,0,0,10
Moqattam Entrance from Salah Salem,1219.0,1075.0,9,9,0,2,4,0,0,0,0,0,24
Mosheer Ahmed Ismail Station (Sheraton),240.0,240.0,0,0,0,0,0,1,0,0,0,0,1
Mostorad Pedestrian Bridge,4271.0,2387.0,4,4,0,1,8,8,1,1,0,0,27
Mostorod,7162.0,3978.0,5,5,3,3,11,11,0,0,0,0,38
Mostorod Bridge (Ring Rd.),292.0,180.0,3,3,0,4,0,0,0,0,0,0,10
Motseian,7591.0,4963.0,2,2,5,5,0,0,0,0,0,0,14
Mountain View Square,28.0,0.0,3,0,0,0,0,0,0,0,0,0,3
MSA University,1811.0,1371.0,0,0,5,5,0,0,0,0,0,0,10
Mubarak Educational City Entrance,23.0,23.0,0,0,0,5,0,0,0,0,0,0,5
Nadi Al Baraka Steps (Ring Rd.),970.0,554.0,3,3,5,5,0,0,0,0,0,0,16
Nahda City Station,4708.0,1892.0,0,0,2,2,0,0,0,0,0,0,4
Nahya Steps (Ring Rd.),1426.0,278.0,0,0,5,5,0,0,0,0,0,0,10
Nasr Al Islam Mosque (Al Nozha St.),1137.0,437.0,3,3,3,3,7,7,0,0,0,0,26
Nasr City Sporting Club,1530.0,1234.0,17,17,0,0,0,0,0,0,0,0,34
Nasr City Towers,487.0,327.0,3,3,0,0,0,0,0,0,0,0,6
Nasr St Exit from Autostrad,16.0,0.0,5,0,0,0,0,0,0,0,0,0,5
Nasser Institue For Research (Al Khalafawy),807.0,415.0,7,7,8,8,0,0,0,0,0,0,30
National Authority For Military Production,1954.0,1102.0,13,13,4,0,6,6,0,0,0,0,42
National Cardiac Institute,1330.0,682.0,0,3,1,1,2,0,0,0,0,0,7
National Institute for Diabetes ( Magra Al Oyoun ),2380.0,1584.0,18,18,4,4,11,11,0,0,0,0,66
National Institute for Occupational Safety and Health (Al Amn Al Senaey),1191.0,903.0,4,4,0,0,10,10,0,0,0,0,28
National Institute for Tumor Studies ( Magra Al Oyoun),3025.0,1985.0,16,16,2,2,4,4,0,0,0,0,44
National Research Center (Dokki),1009.0,581.0,11,11,1,0,0,0,0,0,0,0,23
National Security (Alexandria Desert Rd.),149.0,113.0,0,0,5,5,0,0,0,0,0,0,10
Nefertari International School,1334.0,662.0,0,2,4,4,0,0,0,0,0,0,10
New Cairo Academy (5th Settlement),344.0,108.0,3,3,0,0,1,1,0,0,0,0,8
New Giza Gate 1,293.0,113.0,0,0,5,5,0,0,0,0,0,0,10
New Marg,12996.0,6800.0,1,1,2,2,3,3,0,0,2,2,16
New Marg Exit (Ring Rd.),2235.0,1215.0,0,3,6,6,0,0,0,0,0,0,15
New Marg Station,7826.0,4658.0,1,1,2,2,1,1,0,0,0,0,8
New Market (Asmarat),2786.0,1958.0,3,3,0,0,0,0,0,0,1,1,8
New Musuem ( Cairo Alex Desert Rd.),115.0,115.0,0,0,0,5,0,0,0,0,0,0,5
New Police Station Nahda,467.0,287.0,0,0,1,1,0,0,0,0,0,0,2
Nile Club (Shubra Al Kheima),1926.0,1322.0,9,9,4,0,0,0,1,1,0,0,24
Nile Towers (Nile Corniche),333.0,189.0,5,5,10,10,2,2,0,0,0,0,34
Nile University,32.0,0.0,4,0,0,0,0,0,0,0,0,0,4
Nissan (Kattameya),126.0,18.0,3,3,5,0,0,0,0,0,0,0,11
North Cairo Electricity Distribution Company (Al Helmeya),1622.0,1202.0,9,9,0,0,9,9,0,0,0,0,36
North Imbaba,2276.0,1424.0,0,0,5,5,0,0,0,0,0,0,10
Northen Giza Courthouse,3313.5068607087514,2200.737237757538,3,3,3,3,3,3,1,1,0,0,20
Noubar St.,5244.0,2248.0,16,16,0,0,6,6,0,0,0,0,44
Nour Al Huda Automotive (Shubra Al Kheima),1750.0,1018.0,23,23,2,2,4,4,0,0,0,0,58
Nour Al Islam Azhari Institute (Kafr Al Gabal),48.0,0.0,0,0,1,0,0,0,0,0,0,0,1
Nour Al Islam Mosque ( Shubra Al Kheima),464.0,464.0,0,0,0,1,0,3,0,0,0,0,4
Nour Al Islam Mosque (Shubra Al Kheima),100.0,40.0,0,0,0,0,3,3,0,0,0,0,6
