Feature_ID,Grid_ID,Jobs_Accessible_60min,H3_Hex_ID,Population_2018,Pop_Male,Pop_Female,Jobs_In_Hex,Jobs_Pct_Accessible_60min,geometry
35,35,13769,883e604931fffff,1889,983,906,6006,0.2,"MULTIPOLYGON (((350426.2372115656 3342431.1541215177, 351001.02488329844 3342469.0357542173, 351323.0685138679 3341988.5686083008, 351070.3376158816 3341470.2135232934, 350495.550158423 3341432.3177483706, 350173.4943394904 3341912.7911871183, 350426.2372115656 3342431.1541215177)))"
36,36,189938,883e604933fffff,1889,983,905,4080,3.4,"MULTIPOLYGON (((351323.0685138679 3341988.5686083008, 351897.8336032083 3342026.456456586, 352219.8675622515 3341546.002236568, 351967.1485985986 3341027.6538877273, 351392.38373441226 3340989.751914875, 351070.3376158816 3341470.2135232934, 351323.0685138679 3341988.5686083008)))"
37,37,15220,883e604935fffff,2524,1318,1206,5461,0.3,"MULTIPOLYGON (((349598.68427567394 3341874.9016290097, 350173.4943394904 3341912.7911871183, 350495.550158423 3341432.3177483706, 350242.808086402 3340913.9462380977, 349667.9982493153 3340876.0425227527, 349345.9302345065 3341356.5233661477, 349598.68427567394 3341874.9016290097)))"
38,38,17891,883e604937fffff,1889,983,905,6580,0.3,"MULTIPOLYGON (((350495.550158423 3341432.3177483706, 351070.3376158816 3341470.2135232934, 351392.38373441226 3340989.751914875, 351139.6545697511 3340471.3871392137, 350564.86638699943 3340433.47723778, 350242.808086402 3340913.9462380977, 350495.550158423 3341432.3177483706)))"
39,39,555,883e604939fffff,1889,983,906,278,0.0,"MULTIPOLYGON (((350356.9294662747 3343429.985223268, 350931.71540389216 3343467.8527374016, 351253.7575078203 3342987.3811476, 351001.02488329844 3342469.0357542173, 350426.2372115656 3342431.1541215177, 350104.18389065703 3342911.6320003252, 350356.9294662747 3343429.985223268)))"
40,40,290378,883e60493bfffff,1889,983,906,1440,5.2,"MULTIPOLYGON (((351253.7575078203 3342987.3811476, 351828.521836419 3343025.2548817433, 352150.55429396406 3342544.7962288014, 351897.8336032083 3342026.456456586, 351323.0685138679 3341988.5686083008, 351001.02488329844 3342469.0357542173, 351253.7575078203 3342987.3811476)))"
41,41,6930,883e60493dfffff,1371,713,657,2310,0.1,"MULTIPOLYGON (((349529.3745860252 3342873.756588878, 350104.18389065703 3342911.6320003252, 350426.2372115656 3342431.1541215177, 350173.4943394904 3341912.7911871183, 349598.68427567394 3341874.9016290097, 349276.6187676253 3342355.3869217136, 349529.3745860252 3342873.756588878)))"
42,42,34,883e604943fffff,1819,946,872,83,0.0,"MULTIPOLYGON (((349252.17591058003 3346869.1305836425, 349826.98388736707 3346906.9504645034, 350149.02798500506 3346426.452579573, 349896.2772122512 3345908.1273490973, 349321.4693460935 3345870.2932980284, 348999.41309654154 3346350.798633969, 349252.17591058003 3346869.1305836425)))"
43,43,32004,883e604951fffff,1889,983,906,495,0.6,"MULTIPOLYGON (((350976.5538497865 3346982.586477523, 351551.31586677104 3347020.4037162196, 351873.3392365567 3346539.9251377583, 351620.61174983345 3346021.6230067555, 351045.8479172812 3345983.791656664, 350723.81339432206 3346464.277656853, 350976.5538497865 3346982.586477523)))"
44,44,118603,883e604953fffff,1889,983,906,4241,2.1,"MULTIPOLYGON (((351873.3392365567 3346539.9251377583, 352448.07968565973 3346577.7475396967, 352770.0925359472 3346097.2819309784, 352517.3779933974 3345578.9864849006, 351942.6367018418 3345541.1499760314, 351620.61174983345 3346021.6230067555, 351873.3392365567 3346539.9251377583)))"
45,45,729,883e604955fffff,1889,983,906,290,0.0,"MULTIPOLYGON (((350149.02798500506 3346426.452579573, 350723.81339432206 3346464.277656853, 351045.8479172812 3345983.791656664, 350793.11013865576 3345465.474235691, 350218.32485085155 3345427.6350058042, 349896.2772122512 3345908.1273490973, 350149.02798500506 3346426.452579573)))"
46,46,47262,883e604957fffff,1889,983,906,1094,0.8,"MULTIPOLYGON (((351045.8479172812 3345983.791656664, 351620.61174983345 3346021.6230067555, 351942.6367018418 3345541.1499760314, 351689.9109001944 3345022.8381561907, 351115.1471999005 3344984.9926711363, 350793.11013865576 3345465.474235691, 351045.8479172812 3345983.791656664)))"
47,47,993,883e604959fffff,1889,983,906,925,0.0,"MULTIPOLYGON (((350907.2621050511 3347981.3760653427, 351482.02420795104 3348019.1791638643, 351804.04503182287 3347538.6961573986, 351551.31586677104 3347020.4037162196, 350976.5538497865 3346982.586477523, 350654.5209191652 3347463.076928055, 350907.2621050511 3347981.3760653427)))"
48,48,80806,883e60495bfffff,1889,983,906,7066,1.4,"MULTIPOLYGON (((351804.04503182287 3347538.6961573986, 352378.7855775778 3347576.504436799, 352700.7959071616 3347096.034410962, 352448.07968565973 3346577.7475396967, 351873.3392365567 3346539.9251377583, 351551.31586677104 3347020.4037162196, 351804.04503182287 3347538.6961573986)))"
