Terminal_ID,Terminal_Name,Routes_As_Origin,Avg_Route_Len_Origin,Routes_As_Dest,Avg_Route_Len_Dest,Total_Routes,Boarding_Near_Terminal,Stops_Near_Terminal,Underused,Zone,Underuse_Severity,Status
340,R2 - New Administrative Capital,1.0,44.5920421682857,1.0,47.833163266326,2.0,0.0,0,True,Marginal,2.0,"Underused (routes, no boarding)"
341,Almaza Superjet,0.0,0.0,0.0,0.0,0.0,2066.0,1,False,Overcrowded / Underserved,0.0,Has nearby boarding
342,Mabyadah Square - Rod El Farag,1.0,45.5691164714095,1.0,46.3870576783719,2.0,0.0,0,True,Marginal,2.0,"Underused (routes, no boarding)"
343,Kuwaiti Mosque - Zahraa Maadi,0.0,0.0,0.0,0.0,0.0,225.0,1,False,Overcrowded / Underserved,0.0,Has nearby boarding
333,Al Qanatir Al Khayriyyah,5.0,23.05272817447272,6.0,19.7780138751649,11.0,0.0,0,True,Dead Weight,11.0,"Underused (routes, no boarding)"
334,Bigam,4.0,15.234878510242108,4.0,14.452218888530743,8.0,11778.0,1,False,Efficient Hub,0.0,Has nearby boarding
335,Kolleyet Al Zeraah (Cairo University),1.0,21.7682458790741,2.0,19.11385628212545,3.0,1643.0,1,False,Overcrowded / Underserved,0.0,Has nearby boarding
336,Al Omraneyya Al Gadida,11.0,23.510499252687797,11.0,22.683313062796945,22.0,13856.0,1,False,Efficient Hub,0.0,Has nearby boarding
337,Masaken Dahshour,5.0,35.637466744238296,5.0,33.0508375411068,10.0,0.0,0,True,Dead Weight,10.0,"Underused (routes, no boarding)"
338,Al Bassous,1.0,3.51458547468477,1.0,3.53451329332556,2.0,3820.0,1,False,Overcrowded / Underserved,0.0,Has nearby boarding
339,Wizarat District - New Administrative Capital,2.0,64.10982434164605,2.0,66.18504137961325,4.0,0.0,0,True,Marginal,4.0,"Underused (routes, no boarding)"
344,Carrefour - Maadi,2.0,6.48871510494849,2.0,7.004715662619676,4.0,0.0,0,True,Marginal,4.0,"Underused (routes, no boarding)"
345,Al Waha (Garage Al Mostaqbal),0.0,0.0,0.0,0.0,0.0,0.0,0,False,Marginal,0.0,Has nearby boarding
346,Hadayek AL Ahram (Second Gate),2.0,29.22802948158595,2.0,26.0207268420987,4.0,0.0,0,True,Marginal,4.0,"Underused (routes, no boarding)"
347,October (MM),1.0,40.1634234614049,1.0,36.1545648981571,2.0,0.0,0,True,Marginal,2.0,"Underused (routes, no boarding)"
349,City Stars,1.0,33.4476726047316,1.0,34.5800044241778,2.0,0.0,0,True,Marginal,2.0,"Underused (routes, no boarding)"
348,Zayed (MM),2.0,15.773489862633404,2.0,18.809900230200043,4.0,152.0,1,False,Marginal,0.0,Has nearby boarding
352,Al Mansheya Al Jadeeda,0.0,0.0,0.0,0.0,0.0,0.0,0,False,Marginal,0.0,Has nearby boarding
353,Manshiyet Al Bakary,0.0,0.0,0.0,0.0,0.0,0.0,0,False,Marginal,0.0,Has nearby boarding
354,Akher Tersa,1.0,17.575369677229,1.0,17.6885111170875,2.0,0.0,0,True,Marginal,2.0,"Underused (routes, no boarding)"
